"Calculations Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Type,Dataset,Status,Replace Nulls With Zero,Start Date,End Date,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"4.1.2.3 Aggregate to industry BL","Aggregates up to QSI Industry group SUT Bottom level:- QSI Question: *; Measure: RAW",AGGREGATE,"4.1 Process QSI Industries",Work in progress,N, , ,"{aggregate dimension = QSI Industry}{top level specification = group SUT Bottom level}"," {QSI Question = *} {Measure = 'RAW'}","n/a",18/06/2009 10:31:18,13/09/2022 17:55:12
"4.1.2.4 Agg to question Asset","Aggregates QSI Question up to group AN output:- QSI Industry:group SUT Bottom level; Measure:RAW",AGGREGATE,"4.1 Process QSI Industries",Work in progress,N, , ,"{aggregate dimension = QSI Question}{top level specification = group AN Output}"," {QSI Industry = group SUT Bottom level} {Measure = 'RAW'}","n/a",18/06/2009 11:24:25,13/09/2022 17:55:13
"4.2.2.5 Agg Assets to AN.12","Aggregates Asset up to AN.12:- Industry:01,06,46,64,65.1-2,65.3,84; Measure: BV; Periodicity: Q",AGGREGATE,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = 01, 06, 46, 64, 65.1-2, 65.3, 84} {Measure = BV} {Periodicity = Q}","n/a",24/06/2009 14:08:49,16/09/2022 14:15:10
"4.2.2.6 Agg PROP to Asset AN.12","Aggregates Asset up to AN.12:- Industry: 55, 56; Measure: PROP; Periodicity: Q",AGGREGATE,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = 55,56} {Measure = PROP} {Periodicity = Q}","n/a",24/01/2011 13:24:55,16/09/2022 14:15:11
"4.3.2.2 Agg QSI to Ind TOTAL","Aggregates Industry up to TOTAL:- Asset:group Other; Adjustment: RF; Source:QSI; Periodicity:A",AGGREGATE,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{aggregate dimension = Industry}{top level specification = TOTAL}"," {Asset = group Other} {Adjustment Basis = RF} {Source = QSI} {Periodicity = A}","n/a",26/09/2012 14:54:34,16/09/2022 14:15:25
"4.3.2.3 Agg QSI to Asset AN.12","Aggregates Asset up to AN.12:- Industry:TOTAL,group Bottom level; Adjustment:RF; Source:QSI; A",AGGREGATE,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = TOTAL, group Bottom level} {Adjustment Basis = RF} {Source = QSI} {Periodicity = A}","n/a",26/09/2012 14:57:46,16/09/2022 14:15:27
"4.4.2.1 Agg A5.2 up Industries","Agg A5.2 up Industries",AGGREGATE,"4.4 Process Satellite Adjustment",Work in progress,N, , ,"{aggregate dimension = Industry}{top level specification = TOTAL}"," {Asset = group Main} {Sector = group Inventories Bottom Level} {Price = CP, CYP, PYP, CVM} {Adjustment Basis = 'A5.2'} {Seasonal Adjustment = NSA, SA} {Periodicity = Q} {Product = TOTAL}","n/a",05/04/2018 10:47:04,16/09/2022 14:15:31
"4.4.2.2 Agg A5.2 up Asset","Agg A5.2 up Asset",AGGREGATE,"4.4 Process Satellite Adjustment",Work in progress,N, , ,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = *} {Sector = group Inventories Bottom Level} {Price = CP, CYP, PYP, CVM} {Adjustment Basis = A5.2} {Seasonal Adjustment = NSA, SA} {Periodicity = Q} {Product = TOTAL}","n/a",05/04/2018 10:49:44,16/09/2022 14:15:31
"4.4.2.3 Agg A5.2 up Sector","Agg A5.2 up Sect",AGGREGATE,"4.4 Process Satellite Adjustment",Work in progress,N, , ,"{aggregate dimension = Sector}{top level specification = ST}"," {Industry = *} {Asset = 'AN.12',group Main} {Price = CP, CYP, PYP, CVM} {Adjustment Basis = A5.2} {Seasonal Adjustment = NSA, SA} {Periodicity = Q} {Product = TOTAL}","n/a",05/04/2018 10:51:59,16/09/2022 14:15:31
"4.1.1.1 Copy Data QSI Ind","Copy QSI Industry Data",COPY BETWEEN DATASETS,"4.1 Process QSI Industries",Work in progress,N, , ,"{source dataset{name = 1.1 Input QSI}{status = Work in progress}}"," {QSI Industry = *} {QSI Question = *} {Measure = *}","{QSI Industry-> (Direct) QSI Industry}{QSI Question-> (Direct) QSI Question}{Measure-> (Direct) Measure}",03/08/2022 13:58:33,13/09/2022 17:55:05
"4.1.1.2 Copy Adjustment QSI A1.2","Copy A1.2 Adjustment for QSI",COPY BETWEEN DATASETS,"4.1 Process QSI Industries",Work in progress,N, , ,"{source dataset{name = 2.1 Input Adjustment QSI A1.2}{status = Work in progress}}"," {QSI Industry = *} {QSI Question = *} {Measure = *}","{QSI Industry-> (Direct) QSI Industry}{QSI Question-> (Direct) QSI Question}{Measure-> (Direct) Measure}",26/08/2022 12:24:48,13/09/2022 17:55:07
"4.1.2.15 Copy Industry 45,46,47","Copies Industry:45,46,47 (Direct); Measure:OUTPUT (Direct), Question:AN.123.OTHER (Unmapped) AN.125",COPY BETWEEN DATASETS,"4.1 Process QSI Industries",Work in progress,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = 45,46,47} {QSI Question = 'AN.123.OTHER'} {Measure = 'OUTPUT'}","{QSI Industry-> (Direct) QSI Industry}{AN.125-> (Unmapped) QSI Question}{Measure-> (Direct) Measure}",02/07/2018 11:38:17,13/09/2022 17:55:29
