"Classifications Configuration Report    Date: 22/09/2022 13:39:14"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Date Created,Date Last Used
"Adjustment Basis","Adjustment Basis for adjustments strategy",03/05/2012 16:27:14,25/08/2022 11:26:04
"Asset Expanded","AN asset codes",17/06/2009 12:03:08,09/10/2019 13:40:52
"CPA2008 SUT Inventories","Classification of Products by Activity 2008 NA version",17/10/2011 15:10:22,22/03/2019 11:05:29
"Measure","Measures for QSI and other inputs",17/06/2009 11:58:32,25/08/2022 11:36:22
"Prices","Price types for Stock Holding Period dataset",26/03/2014 09:49:26,08/10/2019 12:13:01
"QSI Industry","QSI Industry codes",24/06/2011 11:41:59,22/10/2019 14:10:02
"QSI Question","QSI Question number",16/06/2009 13:56:18,03/07/2018 12:02:15
"SIC2007 EU A161 level","SIC2007 EU A161 level",02/02/2016 09:25:10,02/02/2016 09:25:10
"SIC2007 SUT Inventories","2007 SUT Industries for inventories",17/10/2011 15:09:27,17/10/2011 15:09:27
"SIC2007 SUT Publish  Inventories","2007 SUT and Published Industries for inventories",03/05/2012 16:26:33,03/05/2012 16:26:33
"Sector","Sector",05/10/2018 15:05:53,11/10/2018 09:29:23
"Source","Source of data",26/09/2012 14:29:51,24/08/2022 08:04:52
