"Dataset Definitions Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Coverage Descriptors,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Date Created,Date Last Used
"00.010 SILVER data for Satellite","AN.123.SILVER BV for Ind 65.1-2","n/a"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Inventories}"," {name = Asset}{description = Asset}{store order = 2}{ classification = Asset Expanded}"," {name = Measure}{description = Measure}{store order = 3}{ classification = Measure}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,14/05/2014 10:26:26,06/03/2019 12:08:15
"00.020 Stock Holding Period","Stock Holding Period","n/a"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Inventories}"," {name = Asset}{description = Asset}{store order = 2}{ classification = Asset Expanded}"," {name = Prices}{description = Prices}{store order = 3}{ classification = Prices}"," {name = Periodicity}{description = Periodicity}{store order = 4}{ classification = Periodicity (from National Accounts)}",n/a,n/a,n/a,n/a,n/a,n/a,26/03/2014 09:52:32,16/10/2014 16:55:34
"00.080 Product Pattern Input","Product Pattern Input Dataset","{name = Periodicity{description = Periodicity}{ classification = Periodicity (from National Accounts)}{item = A}}"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Publish  Inventories}"," {name = Product}{description = Product}{store order = 2}{ classification = CPA2008 SUT Inventories}"," {name = Adjustment}{description = Adjustment}{store order = 3}{ classification = Adjustment Basis}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,10/10/2019 09:29:50,14/01/2020 15:26:00
"00.090 Product Breakdown","Industry x Asset x Product Breakdown","n/a"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Inventories}"," {name = Asset}{description = Asset}{store order = 2}{ classification = Asset Expanded}"," {name = Product}{description = Product}{store order = 3}{ classification = CPA2008 SUT Inventories}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,20/04/2018 11:23:08,19/02/2020 13:24:03
"00.100 Sector Breakdown","Sector Breakdown","n/a"," {name = Sector}{description = Sector}{store order = 1}{ classification = ZZZ_Sector (from National Accounts)}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,05/04/2018 10:59:00,25/06/2018 08:52:26
"00.950 EU data for Satellite","EU data for Satellite","n/a"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Publish  Inventories}"," {name = Measure}{description = Measure}{store order = 2}{ classification = Measure}"," {name = Prices}{description = Prices}{store order = 3}{ classification = ZZZ_Prices (from National Accounts)}"," {name = Periodicity}{description = Periodicity}{store order = 4}{ classification = Periodicity (from National Accounts)}",n/a,n/a,n/a,n/a,n/a,n/a,27/08/2014 11:51:20,16/10/2014 16:56:23
"00.951 New EU requirements","New EU data for Satellite","n/a"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 EU A161 level}"," {name = Measure}{description = Measure}{store order = 2}{ classification = Measure}"," {name = Prices}{description = Prices}{store order = 3}{ classification = ZZZ_Prices (from National Accounts)}"," {name = Periodicity}{description = Periodicity}{store order = 4}{ classification = Periodicity (from National Accounts)}",n/a,n/a,n/a,n/a,n/a,n/a,02/02/2016 09:27:02,02/02/2016 09:27:02
"05.00 Deflator adjustments","Adjustments for mGDP deflators in satellite","{name = Asset{description = Asset}{ classification = Asset Expanded}{item = AN.12}}{name = Industry{description = Industry}{ classification = SIC2007 SUT Inventories}{item = TOTAL}}"," {name = Product}{description = Product}{store order = 1}{ classification = CPA2008 SUT Inventories}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,05/10/2018 09:24:57,05/10/2018 09:24:57
"06.00 TEMPORARY RP (Balanced)","Temporary method to input bottom level industry RP (CP & CVM only) into the Balanced Inventories","{name = Adjustment Basis{description = Adjustment Basis}{ classification = Adjustment Basis}{item = RP}}"," {name = Industry}{description = Industry}{store order = 1}{ classification = SIC2007 SUT Publish  Inventories}"," {name = Asset}{description = Asset}{store order = 2}{ classification = Asset Expanded}"," {name = Price}{description = Price}{store order = 3}{ classification = Prices NA (from National Accounts)}"," {name = Seasonal Adjustment}{description = Seasonal Adjustment}{store order = 4}{ classification = Seasonal adjustment (from National Accounts)}",n/a,n/a,n/a,n/a,n/a,n/a,24/10/2018 10:24:02,24/10/2018 10:29:58
"1.1 Input QSI","Input Dataset holding QSI industry data","n/a"," {name = QSI Industry}{description = QSI Industry}{store order = 1}{ classification = QSI Industry}"," {name = QSI Question}{description = QSI Question}{store order = 2}{ classification = QSI Question}"," {name = Measure}{description = Measure}{store order = 3}{ classification = Measure}",n/a,n/a,n/a,n/a,n/a,n/a,n/a,25/07/2022 15:43:35,25/08/2022 15:53:22
