"External Classifications In Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23"

External Object Details,,Internal Object Details,
Statistical Activity,Classification,Name,Type,Dimension/Map Class
"National Accounts","Adjustments","4.5 Process DEFRA Delivery","Dataset","Adjustments"
"National Accounts","Adjustments","1.4 Input DEFRA","Dataset","Adjustments"
"National Accounts","Periodicity","00.950 EU data for Satellite","Dataset","Periodicity"
"National Accounts","Periodicity","00.020 Stock Holding Period","Dataset","Periodicity"
"National Accounts","Periodicity","00.080 Product Pattern Input","Dataset","Periodicity"
"National Accounts","Periodicity","5.1 Output Unbalanced Invent","Dataset","Periodicity"
"National Accounts","Periodicity","4.5 Process DEFRA Delivery","Dataset","Periodicity"
"National Accounts","Periodicity","4.4 Process Satellite Adjustment","Dataset","Periodicity"
"National Accounts","Periodicity","4.3 Process ABI Adjustment","Dataset","Periodicity"
"National Accounts","Periodicity","4.2 Process Non-QSI Industries","Dataset","Periodicity"
"National Accounts","Periodicity","2.5 Input Satellite Adjustments","Dataset","Periodicity"
"National Accounts","Periodicity","2.3 Input Adjustment ABI A1.2","Dataset","Periodicity"
"National Accounts","Periodicity","2.2 Input Adjustment NonQSI A1.2","Dataset","Periodicity"
"National Accounts","Periodicity","1.4 Input DEFRA","Dataset","Periodicity"
"National Accounts","Periodicity","1.3  Input ABI","Dataset","Periodicity"
"National Accounts","Periodicity","1.2 Input Non-QSI","Dataset","Periodicity"
"National Accounts","Periodicity","00.951 New EU requirements","Dataset","Periodicity"
"National Accounts","Prices NA","4.4 Process Satellite Adjustment","Dataset","Price"
"National Accounts","Prices NA","2.5 Input Satellite Adjustments","Dataset","Price"
"National Accounts","Prices NA","06.00 TEMPORARY RP (Balanced)","Dataset","Price"
"National Accounts","Seasonal adjustment","06.00 TEMPORARY RP (Balanced)","Dataset","Seasonal Adjustment"
"National Accounts","Seasonal adjustment","5.1 Output Unbalanced Invent","Dataset","Seasonal Adjustment"
"National Accounts","Seasonal adjustment","4.4 Process Satellite Adjustment","Dataset","Seasonal Adjustment"
"National Accounts","Seasonal adjustment","2.5 Input Satellite Adjustments","Dataset","Seasonal Adjustment"
"National Accounts","Sector ESA10","4.4 Process Satellite Adjustment","Dataset","Sector"
"National Accounts","Sector ESA10","2.5 Input Satellite Adjustments","Dataset","Sector"
"National Accounts","ZZZ_Prices","00.951 New EU requirements","Dataset","Prices"
"National Accounts","ZZZ_Prices","00.950 EU data for Satellite","Dataset","Prices"
"National Accounts","ZZZ_Sector","00.100 Sector Breakdown","Dataset","Sector"
