"External Datasets Out Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Stat Activity,Mode,Name,Description,Type,Dataset,Status,Zero Divide is Zero,Start Date,End Date,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"Unbalanced Inventories","INT23","00.111 Copy in PROP from Local","Copy PROP, AN.121, R0 data for Product Pattern prep from Inventories local",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = 'pattern'} {Source = LOCAL} {Adjustment Basis = R0} {Price = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{PROP-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 13:46:43,17/09/2022 03:32:32
"Unbalanced Inventories","INT23","00.112 Copy in Patter adj local","Copy P (Pattern), AN.121, A0.1 adjustment from local",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = pattern} {Source = LOCAL} {Adjustment Basis = 'A0.1'} {Price = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{P-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 13:53:14,17/09/2022 03:32:45
"Unbalanced Inventories","INT23","00.121 Copy BV QSI from Local","Copy BV QSI, Q, Inds bottom level excl 45, 46, 47",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group QSI Industries} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = QSI} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 15:28:36,17/09/2022 03:32:49
"Unbalanced Inventories","INT23","00.122 Copy BV QSI from Local","Copy BV QSI, Q, Ind 45, 46, 47, Asset group AN.125 exc 123.OTH from Local (QSI)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = 45, 46, 47} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = QSI} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 15:43:18,17/09/2022 03:32:56
"Unbalanced Inventories","INT23","00.123 Copy BV Other from Local","Copy BV Other, Q, Asset group Main, Industry Group bottom Level from Local",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Bottom level} {Product = TOTAL} {Asset = group Main} {Sector = S.1} {Measure = BV} {Source = 'Other'} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 15:46:37,17/09/2022 03:33:01
"Unbalanced Inventories","INT23","00.124 Copy BV Other AN123 Local","Copy BV Other, Q, Asset AN.123, Industry 65.1-2, 65.3, 84 from Local (other)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '65.1-2','65.3','84'} {Product = TOTAL} {Asset = AN.123} {Sector = S.1} {Measure = BV} {Source = 'Other'} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",25/08/2022 15:58:45,17/09/2022 03:33:05
"Unbalanced Inventories","INT23","00.125 Copy BV Other AN125 Local","Copy BV, Other, Q, Asset AN.125, Industry 46 from Local (Other)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '46'} {Product = 'TOTAL'} {Asset = 'AN.125'} {Sector = 'S.1'} {Measure = BV} {Source = 'Other'} {Adjustment Basis = 'RF'} {Price = 'CP'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",26/08/2022 08:27:42,17/09/2022 03:33:09
"Unbalanced Inventories","INT23","00.126 Copy BVC Other from Local","Copy BVC, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01 from Local (DEFRA)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '01'} {Product = 'TOTAL'} {Asset = 'AN.121','AN.122','AN.123'} {Sector = 'S.1'} {Measure = 'BVC'} {Source = 'Other'} {Adjustment Basis = RF} {Price = 'CP'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{RF-> (Unmapped) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",26/08/2022 08:52:44,17/09/2022 03:33:13
"Unbalanced Inventories","INT23","00.127 Copy BV Other 96Q4 Local","Copy BV, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01, 1996Q4 from Local (DEFRA)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N,1996Q4,1996Q4,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '01'} {Product = 'TOTAL'} {Asset = 'AN.121','AN.122','AN.123'} {Sector = 'S.1'} {Measure = 'BV'} {Source = 'Other'} {Adjustment Basis = RF} {Price = 'CP'} {Periodicity = *}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",26/08/2022 09:00:26,17/09/2022 03:33:18
"Unbalanced Inventories","INT23","00.128 Copy UWDEF DEF from Local","Copy UWDEF, DEF, M, Asset AN.12, Industry TOTAL, Product adjustments (A1.2) from Local (Def adjs)",COPY BETWEEN DATASETS,"Input: Inventories Local",Work in progress,N, , ,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = 'TOTAL'} {Product = *} {Asset = 'AN.12'} {Sector = 'S.1'} {Measure = 'UWDEF'} {Source = 'DEF'} {Adjustment Basis = 'A1.2'} {Price = 'CP'} {Periodicity = 'M'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",26/08/2022 09:06:54,17/09/2022 03:33:22
