"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Prices    Group: FLAGS"

Code,Description,Table Header
FLAG,"FLAG FOR 1 MONTH SHP","FLAG FOR 1 MONTH SHP"
FLAG1,"FLAG FOR 2 MONTH SHP","FLAG FOR 2 MONTH SHP"
FLAG2,"FLAG FOR 3 MONTH SHP","FLAG FOR 3 MONTH SHP"
FLAG3,"FLAG FOR 4 MONTH SHP","FLAG FOR 4 MONTH SHP"
FLAG4,"FLAG FOR 5 MONTH SHP","FLAG FOR 5 MONTH SHP"
FLAG5,"FLAG FOR 6 MONTH SHP","FLAG FOR 6 MONTH SHP"
FLAG6,"FLAG FOR 7 MONTH SHP","FLAG FOR 7 MONTH SHP"
FLAG7,"FLAG FOR 8 MONTH SHP","FLAG FOR 8 MONTH SHP"
FLAG8,"FLAG FOR 9 MONTH SHP","FLAG FOR 9 MONTH SHP"
FLAG9,"FLAG FOR 10 MONTH SHP","FLAG FOR 10 MONTH SHP"
FLAG10,"FLAG FOR 11 MONTH SHP","FLAG FOR 11 MONTH SHP"
FLAG11,"FLAG FOR 12 MONTH SHP","FLAG FOR 12 MONTH SHP"
FLAG12,"FLAG FOR 13 MONTH SHP","FLAG FOR 13 MONTH SHP"
FLAG13,"FLAG FOR 14 MONTH SHP","FLAG FOR 14 MONTH SHP"
FLAG14,"FLAG FOR 15 MONTH SHP","FLAG FOR 15 MONTH SHP"
FLAG15,"FLAG FOR 16 MONTHS SHP","FLAG FOR 16 MONTHS SHP"
