"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Question    Group: AN Output"

Code,Description,Table Header
AN.121.OTHER,"Materials, Stores and Fuel - Not elsewhere specified","AN.121.OTHER"
AN.121.COAL,"Materials, Stores and Fuel - Coal","AN.121.COAL"
AN.121.DW,"Materials, Stores and Fuel - Dwellings","AN.121.DW"
AN.121.GAS,"Materials, Stores and Fuel - Gas","AN.121.GAS"
AN.121.ND,"Materials, Stores and Fuel - Non-dwellings","AN.121.ND"
AN.121.NUCLEAR,"Materials, Stores and Fuel - Nuclear","AN.121.NUCLEAR"
AN.121.OFUEL,"Materials, Stores and Fuel - Other Fuel","AN.121.OFUEL"
AN.121.OIL,"Materials, Stores and Fuel - Oil","AN.121.OIL"
AN.121.STORES,"Materials, Stores and Fuel - Stores","AN.121.STORES"
AN.122.OTHER,"Work-in-progress - Not elsewhere specified","AN.122.OTHER"
AN.122.ND,"Work-in-progress  Non-dwellings","AN.122.ND"
AN.122.DW,"Work-in-progress - Dwellings","AN.122.DW"
AN.123.OTHER,"Finished Goods - Not elsewhere specified","AN.123.OTHER"
AN.123.ND,"Finished Goods - Non-dwellings","AN.123.ND"
AN.123.DW,"Finished Goods - Dwellings","AN.123.DW"
