"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 EU A161 level    Group: Bottom level"

Code,Description,Table Header
01,"Crop and animal production, hunting and related service activities","01"
02,"Forestry and logging","02"
03,"Fishing and aquaculture","03"
05,"Mining of coal and lignite","05"
06,"Extraction of crude petroleum and natural gas","06"
07,"Mining of metal ores","07"
08,"Other mining and quarrying","08"
09,"Mining support service activities","09"
10.1,"Processing and preserving of meat and production of meat products","10.1"
10.2-3,"Preserving of fish, fruit and vegetables","10.2-3"
10.4,"Manufacture of vegetable and animal oils and fats","10.4"
10.5,"Manufacture of dairy products","10.5"
10.6,"Manufacture of grain mill products, starches and starch products","10.6"
10.7,"Manufacture of bakery and farinaceous products","10.7"
10.8,"Manufacture of other food products","10.8"
10.9,"Manufacture of prepared animal feeds","10.9"
11.01-6,"Manufacture of alcoholic beverages","11.01-6"
11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
12,"Manufacture of tobacco products","12"
13,"Manufacture of textiles","13"
14,"Manufacture of wearing apparel","14"
15,"Manufacture of leather and related products","15"
16,"Manufacture of wood and of products of wood and cork","16"
17,"Manufacture of paper and paper products","17"
18,"Printing and reproduction of recorded media","18"
19,"Manufacture of coke and refined petroleum products","19"
20A,"Manufacture of industrial gases, inorganics and fertilizers","20A"
20B,"Manufacture of petrochemicals","20B"
20C,"Manufacture of dyestuffs, agro chemicals","20C"
20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
20.4,"Manufacture of soap and detergents, cleaning and polishing preparations","20.4"
20.5,"Manufacture of other chemical products","20.5"
21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations","21"
22,"Manufacture of rubber and plastic products","22"
23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products","23OTHER"
23.5-6,"Manufacture of cement, lime, plaster and articles of concrete","23.5-6"
24.1-3,"Manufacture of basic iron & steel","24.1-3"
24.4-5,"Manufacture of precious metals and casting of metals","24.4-5"
25OTHER,"Manufacture of fabricated metal products, excluding weapons and ammunition","25OTHER"
25.4,"Manufacture of weapons and ammunition","25.4"
26,"Manufacture of computer, electronic and optical products","26"
27,"Manufacture of electrical equipment","27"
28,"Manufacture of machinery and equipment n.e.c.","28"
29,"Manufacture of motor vehicles, trailers and semi-trailers","29"
30.1,"Building of ships and boats","30.1"
30.3,"Manufacture of air and spacecraft and related machinery","30.3"
30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
31,"Manufacture of furniture","31"
32,"Other manufacturing","32"
33.15,"33.15","33.15"
33.16,"33.16","33.16"
33OTHER,"33OTHER","33OTHER"
35.1,"Electric power generation, transmission and distribution","35.1"
35.2-3,"Manufacture of gas; distribution of gas and steam and air conditioning supply","35.2-3"
36,"Water collection, treatment and supply","36"
37,"Sewerage","37"
38,"Waste collection, treatment and disposal activities; materials recovery","38"
39,"Remediation activities and other waste management services","39"
41,"Construction of buildings","41"
42,"Civil engineering","42"
43,"Specialised construction activities","43"
45,"Wholesale and retail trade and repair of motor vehicles and motorcycles","45"
46,"Wholesale trade, except of motor vehicles and motorcycles","46"
47,"Retail trade, except of motor vehicles and motorcycles","47"
49.1-2,"Rail transport (passenger & freight)","49.1-2"
49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
50,"Water transport","50"
51,"Air transport","51"
52,"Warehousing and support activities for transportation","52"
53,"Postal and courier activities","53"
55,"Accommodation","55"
56,"Food and beverage service activities","56"
58,"Publishing activities","58"
59,"Motion picture, video and television programme production","59"
60,"Programming and broadcasting activities","60"
61,"Telecommunications","61"
62,"Computer programming, consultancy and related activities","62"
63,"Information service activities","63"
64,"Financial service activities, except insurance and pension funding","64"
65.1-2,"Insurance and reinsurance, except comulsory social security","65.1-2"
65.3,"Pension funding","65.3"
66,"Activities auxiliary to financial services and insurance activities","66"
68.1-2,"Buying and selling, renting and operating of own or leased real estate","68.1-2"
68.2IMP,"Imputed Rent","68.2IMP"
68.3,"Real estate activities on a fee or contract basis","68.3"
69.1,"Legal activities","69.1"
69.2,"Accounting, bookkeeping and auditing activities; tax consultancy","69.2"
70,"Activities of head offices; management consultancy activities","70"
71,"Architectural and engineering activities; technical testing and analysis","71"
72,"Scientific research and development","72"
73,"Advertising and market research","73"
74,"Other professional, scientific and technical activities","74"
75,"Veterinary activities","75"
77,"Rental and leasing activities","77"
78,"Employment activities","78"
79,"Travel agency, tour operator and other reservation service and related activities","79"
80,"Security and investigation activities","80"
81,"Services to buildings and landscape activities","81"
82,"Office administrative, office support and other business support activities","82"
84,"Public administration and defence; compulsory social security","84"
85,"Education","85"
86,"Human health activities","86"
87,"Residential care activities","87"
88,"Social work activities without accommodation","88"
90,"Creative, arts and entertainment activities","90"
91,"Libraries, archives, museums and other cultural activities","91"
92,"Gambling and betting activities","92"
93,"Sports activities and amusement and recreation activities","93"
94,"Activities of membership organisations","94"
95,"Repair of computers and personal and household goods","95"
96,"Other personal service activities","96"
