"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Asset Expanded    Group: Bottom level"

Code,Description,Table Header
AN.121.COAL,"Materials Stores & Fuels -  Coal","AN.121.COAL"
AN.121.DW,"Materials Stores & Fuels -  Dwellings","AN.121.DW"
AN.121.GAS,"Materials Stores & Fuels -  Gas","AN.121.GAS"
AN.121.ND,"Materials Stores & Fuels -  Non Dwellings","AN.121.ND"
AN.121.NUCLEAR,"Materials Stores & Fuels -  Nuclear","AN.121.NUCLEAR"
AN.121.OFUEL,"Materials Stores & Fuels -  Ofuel","AN.121.OFUEL"
AN.121.OIL,"Materials Stores & Fuels -  Oil","AN.121.OIL"
AN.121.STORES,"Materials Stores & Fuels -  Stores","AN.121.STORES"
AN.121.OTHER,"Materials Stores & Fuels -  Other (NES)","AN.121.OTHER"
AN.122.DW,"Work In Progress - Dwellings","AN.122.DW"
AN.122.ND,"Work In Progress - Non Dwellings","AN.122.ND"
AN.122.OTHER,"Work In Progress - Other (NES)","AN.122.OTHER"
AN.123.ALUM,"Finished Goods - Aluminium","AN.123.ALUM"
AN.123.BEEF,"Finished Goods - Beef","AN.123.BEEF"
AN.123.BREAD,"Finished Goods - Bread","AN.123.BREAD"
AN.123.BUTTER,"Finished Goods - Butter","AN.123.BUTTER"
AN.123.COPPER,"Finished Goods - Copper","AN.123.COPPER"
AN.123.DW,"Finished Goods - Dwellings","AN.123.DW"
AN.123.FEED,"Finished Goods - Feed","AN.123.FEED"
AN.123.LEAD,"Finished Goods - Lead","AN.123.LEAD"
AN.123.MILK,"Finished Goods - Milk","AN.123.MILK"
AN.123.ND,"Finished Goods - Non Dwellings","AN.123.ND"
AN.123.NICKEL,"Finished Goods - Nickel","AN.123.NICKEL"
AN.123.SILVER,"Finished Goods - Silver","AN.123.SILVER"
AN.123.TIN,"Finished Goods - Tin","AN.123.TIN"
AN.123.ZINC,"Finished Goods - Zinc","AN.123.ZINC"
AN.123.OTHER,"Finished Goods - Other (NES)","AN.123.OTHER"
AN.124.OTHER,"Military inventories - Other (NES)","AN.124.OTHER"
AN.125.OTHER,"Goods for resale - Other (NES)","AN.125.OTHER"
