"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: CPA2008 SUT Inventories    Group: Bottom level 01 - 43"

Code,Description,Table Header
01,"Products of agriculture, hunting and related services","01"
02,"Products of forestry, logging and related services","02"
03,"Fish and other fishing products; aquaculture products; support services to fishing","03"
05,"Coal and lignite","05"
06,"Crude petroleum and natural gas  ","06"
07,"Metal ores  ","07"
08,"Other mining and quarrying products","08"
09,"Mining support services","09"
10.1,"Preserved meat and meat products  ","10.1"
10.2-3,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
10.4,"Vegetable and animal oils and fats","10.4"
10.5,"Dairy products","10.5"
10.6,"Grain mill products, starches and starch products","10.6"
10.7,"Bakery and farinaceous products","10.7"
10.8,"Other food products","10.8"
10.9,"Prepared animal feeds","10.9"
11.01-6,"Alcoholic beverages","11.01-6"
11.07,"Soft drinks","11.07"
12,"Tobacco products","12"
13,"Textiles","13"
14,"Wearing apparel","14"
15,"Leather and related products","15"
16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","16"
17,"Paper and paper products","17"
18,"Printing and recording services","18"
19,"Coke and refined petroleum products","19"
20A,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","20A"
20B,"Petrochemicals - 20.14/16/17/60","20B"
20C,"Dyestuffs, agro-chemicals - 20.12/20","20C"
20.3,"Paints, varnishes and similar coatings, printing ink and mastics","20.3"
20.4,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4"
20.5,"Other chemical products","20.5"
21,"Basic pharmaceutical products and pharmaceutical preparations","21"
22,"Rubber and plastic products","22"
23OTHER,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","23OTHER"
23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
24.1-3,"Basic iron and steel","24.1-3"
24.4-5,"Other basic metals and casting","24.4-5"
25OTHER,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","25OTHER"
25.4,"Weapons and ammunition","25.4"
26,"Computer, electronic and optical products","26"
27,"Electrical equipment","27"
28,"Machinery and equipment n.e.c.","28"
29,"Motor vehicles, trailers and semi-trailers","29"
30.1,"Ships and boats","30.1"
30.3,"Air and spacecraft and related machinery","30.3"
30OTHER,"Other transport equipment - 30.2/4/9","30OTHER"
31,"Furniture","31"
32,"Other manufactured goods","32"
33.15,"Repair and maintenance of ships and boats","33.15"
33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
35.1,"Electricity, gas, steam and air conditioning","35.1"
35.2-3,"Gas; distribution of gaseous fuels through mains; steam and air conditioning supply","35.2-3"
36,"Natural water; water treatment and supply services  ","36"
37,"Sewerage services; sewage sludge  ","37"
38,"Waste collection, treatment and disposal services; materials recovery services  ","38"
39,"Remediation services and other waste management services  ","39"
41,"Buildings and building construction works","41"
42,"Constructions and construction works for civil engineering","42"
43,"Specialised construction works","43"
