"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 EU A161 level    Group: EU Industries"

Code,Description,Table Header
TOTAL,"TOTAL","TOTAL"
A,"AGRICULTURE, FORESTRY AND FISHING","A"
01,"Crop and animal production, hunting and related service activities","01"
02,"Forestry and logging","02"
03,"Fishing and aquaculture","03"
BCDE,"BCDE","BCDE"
B,"MINING AND QUARRYING","B"
C,"MANUFACTURING","C"
10-12,"Manufacture of food, drink and tobacco","10-12"
13-15,"Manufacture of textiles, wearing apparel, leather and leather products","13-15"
16-18,"16 to 18","16-18"
16,"Manufacture of wood and of products of wood and cork","16"
17,"Manufacture of paper and paper products","17"
18,"Printing and reproduction of recorded media","18"
19,"Manufacture of coke and refined petroleum products","19"
20,"Manufacture of chemicals and chemical products","20"
21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations","21"
22-23,"22 to 23","22-23"
22,"Manufacture of rubber and plastic products","22"
23,"Manufacture of other non-metallic mineral products","23"
24-25,"24 to 25","24-25"
24,"Manufacture of basic metals","24"
25,"Manufacture of fabricated metal products, except machinery and equipment","25"
26,"Manufacture of computer, electronic and optical products","26"
27,"Manufacture of electrical equipment","27"
28,"Manufacture of machinery and equipment n.e.c.","28"
29-30,"29 to 30","29-30"
29,"Manufacture of motor vehicles, trailers and semi-trailers","29"
30,"Manufacture of other transport equipment","30"
31-33,"31, 32 & 33","31-33"
31-32,"Manufacture of furniture and other manufacturing","31-32"
33,"Repair and installation of machinery and equipment","33"
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","D"
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","E"
36,"Water collection, treatment and supply","36"
37-39,"Sewerage, waste collection and remediation","37-39"
F,"CONSTRUCTION","F"
GHI,"Wholesale, Retail, Repair of Vehicles, Accomodation and Food Service activities","GHI"
G,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES","G"
45,"Wholesale and retail trade and repair of motor vehicles and motorcycles","45"
46,"Wholesale trade, except of motor vehicles and motorcycles","46"
47,"Retail trade, except of motor vehicles and motorcycles","47"
H,"TRANSPORTATION AND STORAGE","H"
49,"Land transport and transport via pipelines","49"
50,"Water transport","50"
51,"Air transport","51"
52,"Warehousing and support activities for transportation","52"
53,"Postal and courier activities","53"
I,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES","I"
J,"INFORMATION AND COMMUNICATION","J"
58-60,"58 to 60","58-60"
58,"Publishing activities","58"
59-60,"Film, televion programming and broadcasting","59-60"
61,"Telecommunications","61"
62-63,"Computer programming and information service activities","62-63"
K,"FINANCIAL AND INSURANCE ACTIVITIES","K"
64,"Financial service activities, except insurance and pension funding","64"
65,"Insurance, reinsurance and pension funding, except compulsory social security","65"
66,"Activities auxiliary to financial services and insurance activities","66"
L,"REAL ESTATE ACTIVITIES","L"
MN,"Professional, scientific, administration & support","MN"
M,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","M"
69-71,"69 to 71","69-71"
69-70,"Legal and accounting services and activities of head offices","69-70"
71,"Architectural and engineering activities; technical testing and analysis","71"
72,"Scientific research and development","72"
73-75,"Advertising and other professional service activities","73-75"
73,"Advertising and market research","73"
74-75,"Other professional, scientific and vetinary activities","74-75"
N,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","N"
77,"Rental and leasing activities","77"
78,"Employment activities","78"
79,"Travel agency, tour operator and other reservation service and related activities","79"
80-82,"Security services and office support","80-82"
OPQ,"Public Admin, Defence, Social Security, Education, Human Health & Social Work activities","OPQ"
O,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY","O"
P,"EDUCATION","P"
Q,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","Q"
86,"Human health activities","86"
87-88,"Residential and other social care","87-88"
RST,"Arts, Entertainment, Recreation and Households employing staff","RST"
R,"ARTS, ENTERTAINMENT AND RECREATION","R"
90-92,"Arts, entertainment, libraries, museums, gambling and betting activities","90-92"
93,"Sports activities and amusement and recreation activities","93"
S,"OTHER SERVICE ACTIVITIES","S"
94,"Activities of membership organisations","94"
95,"Repair of computers and personal and household goods","95"
96,"Other personal service activities","96"
T,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS","T"
U,"Other","U"
