"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Question    Group: Bottom Level"

Code,Description,Table Header
10,"Closing - All stocks other than motor","Closing - All stocks other than"
66,"Closing - Total","Closing - Total"
120,"Closing - Stores","Closing - Stores"
140,"Closing - Materials","Closing - Materials"
145,"Closing - Work in progress","Closing - Work in progress"
150,"Closing - Goods on hand for sale","Closing - Goods on hand for sale"
175,"Closing - Coal","Closing - Coal"
180,"Closing - Oil","Closing - Oil"
185,"Closing - Gas","Closing - Gas"
190,"Closing - Nuclear fuel","Closing - Nuclear fuel"
192,"Closing - Other stocks (inc stores","Closing - Other stocks (inc stor"
194,"Closing - Used motor vehicles & motor","Closing - Used motor vehicles &"
196,"Closing - New motor vehicles & motor","Closing - New motor vehicles & m"
205,"Closing - Natural gas stocks","Closing - Natural gas stocks"
210,"Closing - Other fuel stocks","Closing - Other fuel stocks"
215,"Closing - Non-fuel stocks","Closing - Non-fuel stocks"
220,"Closing - Materials","Closing - Materials"
230,"Closing - Work in progress & goods on","Closing - Work in progress & goo"
250,"Closing - Materials","Closing - Materials"
260,"Closing - Work in progress & goods on","Closing - Work in progress & goo"
320,"Closing - Raw materials & consumable","Closing - Raw materials & consum"
330,"Closing - All other stocks","Closing - All other stocks"
499,"Closing - Value of stocks held","Closing - Value of stocks held"
888,"Closing - Number of dwellings under","Closing - Number of dwellings un"
900,"Closing - Number of completed dwellings","Closing - Number of completed dw"
