"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Inventories    Group: Bottom level excl Govt"

Code,Description,Table Header
01,"Crop And Animal Production, Hunting And Related Service Activities  ","01"
02,"Forestry And Logging  ","02"
03,"Fishing And Aquaculture  ","03"
05,"Mining Of Coal And Lignite  ","05"
06,"Extraction Of Crude Petroleum And Natural Gas  ","06"
07,"Mining Of Metal Ores  ","07"
08,"Other Mining And Quarrying  ","08"
09,"Mining Support Service Activities  ","09"
10.1,"Processing and preserving of meat and production of meat products","10.1"
10.2-3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
10.4,"Manufacture of vegetable and animal oils and fats","10.4"
10.5,"Manufacture of dairy products","10.5"
10.6,"Manufacture of grain mill products, starches and starch products","10.6"
10.7,"Manufacture of bakery and farinaceous products","10.7"
10.8,"Manufacture of other food products","10.8"
10.9,"Manufacture of prepared animal feeds","10.9"
11.01-6,"Manufacture of alcoholic beverages","11.01-6"
11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
12,"Manufacture Of Tobacco Products  ","12"
13,"Manufacture Of Textiles  ","13"
14,"Manufacture Of Wearing Apparel  ","14"
15,"Manufacture Of Leather And Related Products  ","15"
16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw","16"
17,"Manufacture Of Paper And Paper Products  ","17"
18,"Printing And Reproduction Of Recorded Media  ","18"
19,"Manufacture Of Coke And Refined Petroleum Products  ","19"
20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15","20A"
20B,"Manufacture of petrochemicals - 20.14/16/17/60","20B"
20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","20C"
20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
20.4,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations","20.4"
20.5,"Manufacture of other chemical products","20.5"
21,"Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations","21"
22,"Manufacture Of Rubber And Plastic Products  ","22"
23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","23OTHER"
23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
24.1-3,"Manufacture of basic iron and steel","24.1-3"
24.4-5,"Manufacture of other basic metals and casting","24.4-5"
25OTHER,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","25OTHER"
25.4,"Manufacture of weapons and ammunition","25.4"
