"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Asset Expanded    Group: Product Bottom level"

Code,Description,Table Header
01,"Products of agriculture, hunting and related services","01"
02,"Products of forestry, logging and related services","02"
03,"Fish and other fishing products; aquaculture products; support services to fishing","03"
05,"Mining of coal and lignite","05"
06,"Extraction of Crude Petroleum and Natural Gas","06"
07,"Metal ores  ","07"
08,"Other mining and quarrying products","08"
09,"Mining Support Service Activities","09"
10.1,"Preserved meat and meat products  ","10.1"
10.2-3,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","10.2-4"
10.4,"Vegetable and animal oils and fats","10.4"
10.5,"Dairy products","10.5"
10.6,"Grain mill products, starches and starch products","10.6"
10.7,"Bakery and farinaceous products","10.7"
10.8,"Other food products","10.8"
10.9,"Prepared animal feeds","10.9"
11.01-6,"Alcoholic beverages","11.01-7"
11.07,"Soft drinks","11.07"
12,"Tobacco products","12"
13,"Textiles","13"
14,"Wearing apparel","14"
15,"Leather and related products","15"
16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","16"
17,"Paper and paper products","17"
18,"Printing and recording services","18"
19,"Coke and refined petroleum products","19"
20A,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","20A"
20B,"Petrochemicals - 20.14/16/17/60","20B"
20C,"Dyestuffs, agro-chemicals - 20.12/20","20C"
20.3,"Paints, varnishes and similar coatings, printing ink and mastics","20.3"
20.4,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4"
20.5,"Other chemical products","20.5"
21,"Basic pharmaceutical products and pharmaceutical preparations","21"
22,"Rubber and plastic products","22"
23OTHER,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","23OTHER"
23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-7"
24.1-3,"Basic iron and steel","24.1-4"
24.4-5,"Other basic metals and casting","24.4-6"
25OTHER,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","25OTHER"
25.4,"Weapons and ammunition","25.4"
26,"Computer Electronic and optical products","26"
27,"Electrical Equipment","27"
28,"Machinery and equipment n.e.c.","28"
29,"Motor vehicles, trailers and semi-trailers","29"
30.1,"Ships and boats","30.1"
30.3,"Air and spacecraft and related machinery","30.3"
30OTHER,"Other transport equipment - 30.2/4/9","30OTHER"
31,"Furniture","31"
32,"Other manufactured goods","32"
33.15,"Repair and maintenance of ships and boats","33.15"
33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
35.1,"Electricity, gas, steam and air conditioning","36.1"
35.2-3,"Gas; distribution of gaseous fuels through mains; steam and air conditioning supply","35.2-4"
36,"Natural water; water treatment and supply services  ","36"
37,"Sewerage services; sewage sludge  ","37"
38,"Waste collection, treatment and disposal services; materials recovery services  ","38"
39,"Remediation services and other waste management services  ","39"
41,"Buildings and building construction works","41"
42,"Constructions and construction works for civil engineering","42"
43,"Specialised construction works","43"
45,"Wholesale and retail trade and repair services of motor vehicles and motorcycles  ","45"
46,"Wholesale trade services, except of motor vehicles and motorcycles","46"
47,"Retail trade services, except of motor vehicles and motorcycles","47"
49.1-2,"Rail transport services","49.1-3"
49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-6"
50,"Water transport services  ","50"
51,"Air transport services","51"
52,"Warehousing and support services for transportation","52"
53,"Postal and courier services  ","53"
55,"Accommodation services","55"
56,"Food and beverage serving services","56"
58,"Publishing services","58"
59,"Motion picture, video and TV programme production services, sound recording & music publishing","59"
60,"Programming and broadcasting services","60"
61,"Telecommunications services","61"
62,"Computer programming, consultancy and related services  ","62"
63,"Information services  ","63"
64,"Financial services, except insurance and pension funding","64"
65.1-2,"Insurance, reinsurance and pension funding services, except compulsory social security","65.1-3"
65.3,"Pension funding services","65.3"
66,"Services auxiliary to financial services and insurance services","66"
68.1-2,"Buying or selling real estate","68.1-2"
68.2IMP,"Imputed Rent","68.2IMP"
68.3,"Real estate activities on a fee or contract basis  ","69.3"
69.1,"Legal services","69.1"
69.2,"Accounting, bookkeeping and auditing services; tax consulting services","69.2"
70,"Services of head offices; management consulting services","70"
71,"Architectural and engineering services; technical testing and analysis services","71"
72,"Scientific research and development services","72"
73,"Advertising and market research services","73"
74,"Other professional, scientific and technical services","74"
75,"Veterinary services  ","75"
77,"Rental and leasing services","77"
78,"Employment services  ","78"
79,"Travel agency, tour operator and other reservation services and related services  ","79"
80,"Security and investigation services  ","80"
81,"Services to buildings and landscape  ","81"
82,"Office administrative, office support and other business support services  ","82"
84,"Public administration and defence services; compulsory social security services  ","84"
85,"Education services","85"
86,"Human health services","86"
87,"Residential care services","87"
88,"Social work services without accommodation","88"
90,"Creative, arts and entertainment services  ","90"
91,"Libraries, archives, museums and other cultural services","91"
92,"Gambling and betting services","92"
93,"Sports services and amusement and recreation services","93"
94,"Services furnished by membership organisations","94"
95,"Repair services of computers and personal and household goods","95"
96,"Other personal services","96"
97,"Services of households as employers of domestic personnel","97"
98,"Undifferentiated goods and services produced by private households for own use","98"
99,"Services provided by extraterritorial organisations and bodies","99"
