"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Publish  Inventories    Group: Non-ABI Industries"

Code,Description,Table Header
07,"Mining Of Metal Ores  ","07"
49.1-2,"Rail transport","49.1-2"
49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
50,"Water Transport  ","50"
51,"Air Transport  ","51"
52,"Warehousing And Support Activities For Transportation  ","52"
53,"Postal And Courier Activities  ","53"
59,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities","59"
60,"Programming And Broadcasting Activities  ","60"
63,"Information Service Activities  ","63"
68.1-2,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent","68.1-2"
68.3,"Real estate activities on a fee or contract basis  ","68.3"
69.1,"Legal activities  ","69.1"
69.2,"Accounting, bookkeeping and auditing activities; tax consultancy  ","69.2"
70,"Activities Of Head Offices; Management Consultancy Activities  ","70"
71,"Architectural And Engineering Activities; Technical Testing And Analysis  ","71"
72,"Scientific Research And Development  ","72"
73,"Advertising And Market Research  ","73"
74,"Other Professional, Scientific And Technical Activities  ","74"
75,"Veterinary Activities  ","75"
78,"Employment Activities  ","78"
79,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ","79"
81,"Services To Buildings And Landscape Activities  ","81"
82,"Office Administrative, Office Support And Other Business Support Activities  ","82"
86,"Human Health Activities","86"
87,"Residential Care Activities","87"
88,"Social Work Activities Without Accommodation  ","88"
90,"Creative, Arts And Entertainment Activities  ","90"
91,"Libraries, Archives, Museums And Other Cultural Activities  ","91"
92,"Gambling And Betting Activities  ","92"
93,"Sports Activities And Amusement And Recreation Activities  ","93"
94,"Activities Of Membership Organisations  ","94"
