"Classification Item Groups Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Publish  Inventories"

Number,Name,Description,
1,"01.20 Benchmark ABI and QSI","Industries for ABI QSI benchmarking where there is both QSI and ABI data"
2,"01.20 Benchmark ABI but no QSI","Industries for ABI QSI benchmarking where there is ABI data but no QSI data"
3,"01.20 Benchmark QSI but no ABI","Industries for ABI QSI benchmarking where there is QSI data but no ABI data"
4,"ABI WIP assets","ABI WIP assets"
5,"Bottom level","Bottom Level"
6,"Bottom level excl Govt","Bottom Level excluding Industries 84 and 86"
7,"Non-ABI Industries","Non-ABI Industries not elsewhere specified"
8,"Published Bottom Level","Published Bottom Level series"
9,"Published Series","Published Series"
10,"QSI Industries","QSI Industries"
