"Import Definitions Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Type,Dataset,Status,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"00.020 Deflator FLAGS","FLAG import file for deflator calculations in unbalanced",bulk_import,"00.020 Stock Holding Period",Work in progress,"{file0 = flags import.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Prices-> (mapped) Prices}{Periodicity-> (unmapped) A}",08/10/2019 11:51:44,16/09/2022 14:13:49
"00.021 Stock Holding Periods","00.021 Stock Holding Periods",bulk_import,"00.020 Stock Holding Period",Work in progress,"{file0 = 00.021 Stock Holding Periods.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Prices-> (unmapped) SHP}{Periodicity-> (unmapped) A}",27/08/2014 16:51:36,16/09/2022 14:13:12
"00.022 Industry 84 deflator","00.022 Industry 84 deflator",bulk_import,"00.020 Stock Holding Period",Work in progress,"{file0 = 00.022 Industry 84 deflator.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.124}{Prices-> (unmapped) DEF}{Periodicity-> (unmapped) M}",27/08/2014 16:52:36,16/09/2022 14:13:13
"00.023 Industry 46 deflator","00.023 Industry 46 deflator",bulk_import,"00.020 Stock Holding Period",Work in progress,"{file0 = 00.023 Industry 46 deflator.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.123}{Prices-> (unmapped) DEF}{Periodicity-> (unmapped) M}",27/08/2014 16:53:15,16/09/2022 14:13:15
"00.080 Product Pattern Input","Product Pattern Input and Adjustment",bulk_import,"00.080 Product Pattern Input",Work in progress,"{file0 = Product Pattern.csv}{file1 = A01 Adjustments.csv}","n/a","{Industry-> (mapped) Industry}{Product-> (mapped) Product}{Adjustment-> (mapped) Adjustment Basis}",10/10/2019 09:30:14,16/09/2022 14:13:28
"00.091 Product breakdown","Industry x Asset x Product breakdown",bulk_import,"00.090 Product Breakdown",Work in progress,"{file0 = PRODUCT BREAKDOWN.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}",20/04/2018 11:26:05,16/09/2022 14:13:39
"00.101 Sector Breakdown","00.101 Sector Breakdown",bulk_import,"00.100 Sector Breakdown",Work in progress,"{file0 = 00.101 Sector breakdown.csv}","n/a","{Sector-> (mapped) Sector}",05/04/2018 11:04:49,16/09/2022 14:13:17
"03.102 Input A1.2 Adjustments","Input A1.2 Adjustments",bulk_import,"4.3 Process ABI Adjustment",Work in progress,"{file0 = 03.102 Input A1.2 Adjustments.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.12}{Adjustment Basis-> (mapped) Adj Basis}{Source-> (unmapped) ABI}{Periodicity-> (unmapped) A}",28/08/2014 12:07:28,16/09/2022 14:13:41
"05.00 Deflator adjustments","Adjustments for mGDP deflators in satellite",bulk_import,"05.00 Deflator adjustments",Work in progress,"{file0 = 05.00 Deflator adjustments.csv}","n/a","{Product-> (mapped) Product}",05/10/2018 09:27:10,16/09/2022 14:13:44
"07.00 SU Qual Adj","Quality adjustments for SU balancing",bulk_import,"4.7 Process SU Qual Adjustments",Work in progress,"{file0 = 07.00 SU Qual Adj.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}",23/05/2019 12:10:18,16/09/2022 14:13:47
"1.2.1 Data - QSI","Import QSI Data into input dataset 1.1 Input QSI",bulk_import,"1.1 Input QSI",Work in progress,"{file0 = 01.101A input QSI .csv}{file1 = 01.101B input QSI .csv}{file2 = 01.102 input Industry 61 data.csv}{file3 = 01.103 input QSI .65 66 84 data.csv}{file4 = 01.104 input QSI 02 03 06 data.csv}","n/a","{QSI Industry-> (mapped) Classification}{QSI Question-> (mapped) Question}{Measure-> (unmapped) RAW}",26/07/2022 11:27:46,16/09/2022 14:13:57
"1.2.3 Data - Non-QSI","Import Non-QSI Data",bulk_import,"1.2 Input Non-QSI",Work in progress,"{file0 = 02.101 input SLEVEL data.csv}{file1 = 02.102 input Industry 01 data.csv}{file2 = 02.103 input Industry 06 data.csv}{file3 = 02.104 Input Industry 46 65 data.csv}{file4 = 02.106 Input Ind 84 RPA data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (mapped) Measure}{Periodicity-> (mapped) Periodicity}",26/07/2022 12:02:23,16/09/2022 14:14:04
"1.2.4 Data - Non-QSI","Import Data Non-QSI Asset AN.124 into 1.2 Input Non-QSI",bulk_import,"1.2 Input Non-QSI",Work in progress,"{file0 = 02.109 input Asset AN.124 data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (unmapped) 'BV'}{Periodicity-> (unmapped) 'Q'}",05/08/2022 13:12:03,16/09/2022 14:14:07
