"Classification Items Report    Date: 22/09/2022 13:39:30"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Asset Expanded"

Level,Code,Description,Table Header
0,AN.12,"Inventories by type of inventory","AN.12"
1,  AN.121,"Materials and supplies","AN.121"
2,    AN.121.COAL,"Materials Stores & Fuels -  Coal","AN.121.COAL"
3,      05,"Mining of coal and lignite","05"
3,      09,"Mining Support Service Activities","09"
2,    AN.121.DW,"Materials Stores & Fuels -  Dwellings","AN.121.DW"
3,      23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-7"
2,    AN.121.GAS,"Materials Stores & Fuels -  Gas","AN.121.GAS"
3,      20A,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","20A"
2,    AN.121.ND,"Materials Stores & Fuels -  Non Dwellings","AN.121.ND"
3,      19,"Coke and refined petroleum products","19"
2,    AN.121.NUCLEAR,"Materials Stores & Fuels -  Nuclear","AN.121.NUCLEAR"
2,    AN.121.OFUEL,"Materials Stores & Fuels -  Ofuel","AN.121.OFUEL"
3,      49.1-2,"Rail transport services","49.1-3"
3,      49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-6"
3,      50,"Water transport services  ","50"
3,      51,"Air transport services","51"
2,    AN.121.OIL,"Materials Stores & Fuels -  Oil","AN.121.OIL"
3,      06,"Extraction of Crude Petroleum and Natural Gas","06"
2,    AN.121.STORES,"Materials Stores & Fuels -  Stores","AN.121.STORES"
2,    AN.121.OTHER,"Materials Stores & Fuels -  Other (NES)","AN.121.OTHER"
3,      47,"Retail trade services, except of motor vehicles and motorcycles","47"
3,      52,"Warehousing and support services for transportation","52"
1,  AN.122,"Work-in-progress","AN.122"
2,    AN.122.DW,"Work In Progress - Dwellings","AN.122.DW"
3,      35.2-3,"Gas; distribution of gaseous fuels through mains; steam and air conditioning supply","35.2-4"
3,      36,"Natural water; water treatment and supply services  ","36"
3,      68.2IMP,"Imputed Rent","68.2IMP"
2,    AN.122.ND,"Work In Progress - Non Dwellings","AN.122.ND"
3,      35.1,"Electricity, gas, steam and air conditioning","36.1"
3,      68.1-2,"Buying or selling real estate","68.1-2"
2,    AN.122.OTHER,"Work In Progress - Other (NES)","AN.122.OTHER"
1,  AN.123,"Finished goods","AN.123"
2,    AN.123.ALUM,"Finished Goods - Aluminium","AN.123.ALUM"
2,    AN.123.BEEF,"Finished Goods - Beef","AN.123.BEEF"
3,      10.1,"Preserved meat and meat products  ","10.1"
2,    AN.123.BREAD,"Finished Goods - Bread","AN.123.BREAD"
3,      10.7,"Bakery and farinaceous products","10.7"
2,    AN.123.BUTTER,"Finished Goods - Butter","AN.123.BUTTER"
3,      10.4,"Vegetable and animal oils and fats","10.4"
2,    AN.123.COPPER,"Finished Goods - Copper","AN.123.COPPER"
3,      24.4-5,"Other basic metals and casting","24.4-6"
2,    AN.123.DW,"Finished Goods - Dwellings","AN.123.DW"
3,      21,"Basic pharmaceutical products and pharmaceutical preparations","21"
2,    AN.123.FEED,"Finished Goods - Feed","AN.123.FEED"
3,      10.9,"Prepared animal feeds","10.9"
2,    AN.123.LEAD,"Finished Goods - Lead","AN.123.LEAD"
3,      24.1-3,"Basic iron and steel","24.1-4"
2,    AN.123.MILK,"Finished Goods - Milk","AN.123.MILK"
3,      10.5,"Dairy products","10.5"
2,    AN.123.ND,"Finished Goods - Non Dwellings","AN.123.ND"
3,      20B,"Petrochemicals - 20.14/16/17/60","20B"
3,      20C,"Dyestuffs, agro-chemicals - 20.12/20","20C"
3,      20.5,"Other chemical products","20.5"
2,    AN.123.NICKEL,"Finished Goods - Nickel","AN.123.NICKEL"
3,      25OTHER,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","25OTHER"
2,    AN.123.SILVER,"Finished Goods - Silver","AN.123.SILVER"
3,      65.1-2,"Insurance, reinsurance and pension funding services, except compulsory social security","65.1-3"
2,    AN.123.TIN,"Finished Goods - Tin","AN.123.TIN"
2,    AN.123.ZINC,"Finished Goods - Zinc","AN.123.ZINC"
2,    AN.123.OTHER,"Finished Goods - Other (NES)","AN.123.OTHER"
3,      11.01-6,"Alcoholic beverages","11.01-7"
3,      11.07,"Soft drinks","11.07"
3,      12,"Tobacco products","12"
3,      13,"Textiles","13"
3,      14,"Wearing apparel","14"
3,      15,"Leather and related products","15"
3,      16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","16"
3,      17,"Paper and paper products","17"
3,      18,"Printing and recording services","18"
3,      20.4,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4"
3,      22,"Rubber and plastic products","22"
3,      29,"Motor vehicles, trailers and semi-trailers","29"
3,      30.1,"Ships and boats","30.1"
3,      30.3,"Air and spacecraft and related machinery","30.3"
3,      30OTHER,"Other transport equipment - 30.2/4/9","30OTHER"
3,      46,"Wholesale trade services, except of motor vehicles and motorcycles","46"
3,      53,"Postal and courier services  ","53"
