"Classification Items Report    Date: 22/09/2022 13:39:46"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: CPA2008 SUT Inventories"

Level,Code,Description,Table Header
0,TOTAL,"Total","TOTAL"
1,  01,"Products of agriculture, hunting and related services","01"
1,  02,"Products of forestry, logging and related services","02"
1,  03,"Fish and other fishing products; aquaculture products; support services to fishing","03"
1,  05,"Coal and lignite","05"
1,  06,"Crude petroleum and natural gas  ","06"
1,  07,"Metal ores  ","07"
1,  08,"Other mining and quarrying products","08"
1,  09,"Mining support services","09"
1,  10.1,"Preserved meat and meat products  ","10.1"
1,  10.2-3,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
1,  10.4,"Vegetable and animal oils and fats","10.4"
1,  10.5,"Dairy products","10.5"
1,  10.6,"Grain mill products, starches and starch products","10.6"
1,  10.7,"Bakery and farinaceous products","10.7"
1,  10.8,"Other food products","10.8"
1,  10.9,"Prepared animal feeds","10.9"
1,  11.01-6,"Alcoholic beverages","11.01-6"
1,  11.07,"Soft drinks","11.07"
1,  12,"Tobacco products","12"
1,  13,"Textiles","13"
1,  14,"Wearing apparel","14"
1,  15,"Leather and related products","15"
1,  16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","16"
1,  17,"Paper and paper products","17"
1,  18,"Printing and recording services","18"
1,  19,"Coke and refined petroleum products","19"
1,  20A,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","20A"
1,  20B,"Petrochemicals - 20.14/16/17/60","20B"
1,  20C,"Dyestuffs, agro-chemicals - 20.12/20","20C"
1,  20.3,"Paints, varnishes and similar coatings, printing ink and mastics","20.3"
1,  20.4,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4"
1,  20.5,"Other chemical products","20.5"
1,  21,"Basic pharmaceutical products and pharmaceutical preparations","21"
1,  22,"Rubber and plastic products","22"
1,  23OTHER,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","23OTHER"
1,  23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
1,  24.1-3,"Basic iron and steel","24.1-3"
1,  24.4-5,"Other basic metals and casting","24.4-5"
1,  25OTHER,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","25OTHER"
1,  25.4,"Weapons and ammunition","25.4"
1,  26,"Computer, electronic and optical products","26"
1,  27,"Electrical equipment","27"
1,  28,"Machinery and equipment n.e.c.","28"
1,  29,"Motor vehicles, trailers and semi-trailers","29"
1,  30.1,"Ships and boats","30.1"
1,  30.3,"Air and spacecraft and related machinery","30.3"
1,  30OTHER,"Other transport equipment - 30.2/4/9","30OTHER"
1,  31,"Furniture","31"
1,  32,"Other manufactured goods","32"
1,  33.15,"Repair and maintenance of ships and boats","33.15"
1,  33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
1,  33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
1,  35.1,"Electricity, gas, steam and air conditioning","35.1"
1,  35.2-3,"Gas; distribution of gaseous fuels through mains; steam and air conditioning supply","35.2-3"
1,  36,"Natural water; water treatment and supply services  ","36"
1,  37,"Sewerage services; sewage sludge  ","37"
1,  38,"Waste collection, treatment and disposal services; materials recovery services  ","38"
1,  39,"Remediation services and other waste management services  ","39"
1,  41,"Buildings and building construction works","41"
1,  42,"Constructions and construction works for civil engineering","42"
1,  43,"Specialised construction works","43"
1,  45,"Wholesale and retail trade and repair services of motor vehicles and motorcycles  ","45"
1,  46,"Wholesale trade services, except of motor vehicles and motorcycles","46"
1,  47,"Retail trade services, except of motor vehicles and motorcycles","47"
1,  49.1-2,"Rail transport services","49.1-2"
1,  49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
1,  50,"Water transport services  ","50"
1,  51,"Air transport services","51"
1,  52,"Warehousing and support services for transportation","52"
1,  53,"Postal and courier services  ","53"
1,  55,"Accommodation services","55"
1,  56,"Food and beverage serving services","56"
1,  58,"Publishing services","58"
1,  59,"Motion picture, video and TV programme production services, sound recording & music publishing","59"
1,  60,"Programming and broadcasting services","60"
1,  61,"Telecommunications services","61"
1,  62,"Computer programming, consultancy and related services  ","62"
1,  63,"Information services  ","63"
1,  64,"Financial services, except insurance and pension funding","64"
1,  65.1-2,"Insurance, reinsurance and pension funding services, except compulsory social security","65.1-2"
1,  65.3,"Pension funding services","65.3"
1,  66,"Services auxiliary to financial services and insurance services","66"
1,  68.1-2,"Real estate services, excluding on a fee or contract basis and imputed rent","68.1-2"
1,  68.3,"Real estate activities on a fee or contract basis  ","68.3"
1,  68IMP,"68IMP","68IMP"
1,  69.1,"Legal services","69.1"
1,  69.2,"Accounting, bookkeeping and auditing services; tax consulting services","69.2"
1,  70,"Services of head offices; management consulting services","70"
1,  71,"Architectural and engineering services; technical testing and analysis services","71"
1,  72,"Scientific research and development services","72"
1,  73,"Advertising and market research services","73"
1,  74,"Other professional, scientific and technical services","74"
1,  75,"Veterinary services  ","75"
1,  77,"Rental and leasing services","77"
1,  78,"Employment services  ","78"
1,  79,"Travel agency, tour operator and other reservation services and related services  ","79"
1,  80,"Security and investigation services  ","80"
1,  81,"Services to buildings and landscape  ","81"
1,  82,"Office administrative, office support and other business support services  ","82"
1,  84,"Public administration and defence services; compulsory social security services  ","84"
1,  85,"Education services","85"
1,  86,"Human health services","86"
1,  87,"Residential care services","87"
1,  88,"Social work services without accommodation","88"
1,  90,"Creative, arts and entertainment services  ","90"
1,  91,"Libraries, archives, museums and other cultural services","91"
1,  92,"Gambling and betting services","92"
1,  93,"Sports services and amusement and recreation services","93"
1,  94,"Services furnished by membership organisations","94"
1,  95,"Repair services of computers and personal and household goods","95"
