"Classification Items Report    Date: 22/09/2022 13:40:19"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Prices"

Level,Code,Description,Table Header
0,DEF,"Deflator","Deflator"
0,SHP,"Stock Holding Period","Stock Holding Period"
0,CP,"Current Price","CP"
0,PYP,"PYP","PYP"
0,CYP,"CYP","CYP"
0,CVM,"CVM","CVM"
0,FLAG,"FLAG FOR 1 MONTH SHP","FLAG FOR 1 MONTH SHP"
0,FLAG1,"FLAG FOR 2 MONTH SHP","FLAG FOR 2 MONTH SHP"
0,FLAG2,"FLAG FOR 3 MONTH SHP","FLAG FOR 3 MONTH SHP"
0,FLAG3,"FLAG FOR 4 MONTH SHP","FLAG FOR 4 MONTH SHP"
0,FLAG4,"FLAG FOR 5 MONTH SHP","FLAG FOR 5 MONTH SHP"
0,FLAG5,"FLAG FOR 6 MONTH SHP","FLAG FOR 6 MONTH SHP"
0,FLAG6,"FLAG FOR 7 MONTH SHP","FLAG FOR 7 MONTH SHP"
0,FLAG7,"FLAG FOR 8 MONTH SHP","FLAG FOR 8 MONTH SHP"
0,FLAG8,"FLAG FOR 9 MONTH SHP","FLAG FOR 9 MONTH SHP"
0,FLAG9,"FLAG FOR 10 MONTH SHP","FLAG FOR 10 MONTH SHP"
0,FLAG10,"FLAG FOR 11 MONTH SHP","FLAG FOR 11 MONTH SHP"
0,FLAG11,"FLAG FOR 12 MONTH SHP","FLAG FOR 12 MONTH SHP"
0,FLAG12,"FLAG FOR 13 MONTH SHP","FLAG FOR 13 MONTH SHP"
0,FLAG13,"FLAG FOR 14 MONTH SHP","FLAG FOR 14 MONTH SHP"
0,FLAG14,"FLAG FOR 15 MONTH SHP","FLAG FOR 15 MONTH SHP"
0,FLAG15,"FLAG FOR 16 MONTHS SHP","FLAG FOR 16 MONTHS SHP"
