"Classification Items Report    Date: 22/09/2022 13:40:35"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Industry"

Level,Code,Description,Table Header
0,TOTAL,"TOTAL","TOTAL"
1,  02,"Forestry And Logging  ","02"
1,  03,"Fishing And Aquaculture  ","03"
1,  05,"Mining Of Coal And Lignite  ","05"
2,    5000,"5000","5000"
1,  06,"Extraction Of Crude Petroleum And Natural Gas  ","06"
1,  08,"Other Mining And Quarrying  ","08"
2,    8000,"8000","8000"
1,  10.1,"Processing and preserving of meat and production of meat products","10.1"
2,    10100,"10100","10100"
1,  10.2-3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
2,    99601,"99601","99601"
1,  10.4,"Manufacture of vegetable and animal oils and fats","10.4"
2,    10400,"10400","10400"
1,  10.5,"Manufacture of dairy products","10.5"
2,    10500,"10500","10500"
1,  10.6,"Manufacture of grain mill products, starches and starch products","10.6"
2,    10600,"10600","10600"
1,  10.7,"Manufacture of bakery and farinaceous products","10.7"
2,    10700,"10700","10700"
1,  10.8,"Manufacture of other food products","10.8"
2,    10800,"10800","10800"
1,  10.9,"Manufacture of prepared animal feeds","10.9"
2,    10900,"10900","10900"
1,  11.01-6,"Manufacture of alcoholic beverages","11.01-6"
2,    99602,"99602","99602"
1,  11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
2,    11070,"11070","11070"
1,  12,"Manufacture Of Tobacco Products  ","12"
2,    12000,"12000","12000"
1,  13,"Manufacture Of Textiles  ","13"
2,    13000,"13000","13000"
1,  14,"Manufacture Of Wearing Apparel  ","14"
2,    14000,"14000","14000"
1,  15,"Manufacture Of Leather And Related Products  ","15"
2,    15000,"15000","15000"
1,  16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw","16"
2,    16000,"16000","16000"
1,  17,"Manufacture Of Paper And Paper Products  ","17"
2,    17000,"17000","17000"
1,  18,"Printing And Reproduction Of Recorded Media  ","18"
2,    18000,"18000","18000"
