"Classification Items Report    Date: 22/09/2022 13:40:52"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Question"

Level,Code,Description,Table Header
0,230,"Closing - Work in progress & goods on","Closing - Work in progress & goo"
0,260,"Closing - Work in progress & goods on","Closing - Work in progress & goo"
0,888,"Closing - Number of dwellings under","Closing - Number of dwellings un"
0,900,"Closing - Number of completed dwellings","Closing - Number of completed dw"
0,AN.121.OTHER,"Materials, Stores and Fuel - Not elsewhere specified","AN.121.OTHER"
1,  10,"Closing - All stocks other than motor","Closing - All stocks other than"
1,  66,"Closing - Total","Closing - Total"
1,  120,"Closing - Stores","Closing - Stores"
1,  140,"Closing - Materials","Closing - Materials"
1,  320,"Closing - Raw materials & consumable","Closing - Raw materials & consum"
0,AN.121.COAL,"Materials, Stores and Fuel - Coal","AN.121.COAL"
1,  175,"Closing - Coal","Closing - Coal"
0,AN.121.DW,"Materials, Stores and Fuel - Dwellings","AN.121.DW"
1,  250,"Closing - Materials","Closing - Materials"
0,AN.121.GAS,"Materials, Stores and Fuel - Gas","AN.121.GAS"
1,  185,"Closing - Gas","Closing - Gas"
1,  205,"Closing - Natural gas stocks","Closing - Natural gas stocks"
0,AN.121.ND,"Materials, Stores and Fuel - Non-dwellings","AN.121.ND"
1,  220,"Closing - Materials","Closing - Materials"
0,AN.121.NUCLEAR,"Materials, Stores and Fuel - Nuclear","AN.121.NUCLEAR"
1,  190,"Closing - Nuclear fuel","Closing - Nuclear fuel"
0,AN.121.OFUEL,"Materials, Stores and Fuel - Other Fuel","AN.121.OFUEL"
1,  210,"Closing - Other fuel stocks","Closing - Other fuel stocks"
0,AN.121.OIL,"Materials, Stores and Fuel - Oil","AN.121.OIL"
1,  180,"Closing - Oil","Closing - Oil"
0,AN.121.STORES,"Materials, Stores and Fuel - Stores","AN.121.STORES"
1,  192,"Closing - Other stocks (inc stores","Closing - Other stocks (inc stor"
1,  215,"Closing - Non-fuel stocks","Closing - Non-fuel stocks"
0,AN.122.OTHER,"Work-in-progress - Not elsewhere specified","AN.122.OTHER"
1,  145,"Closing - Work in progress","Closing - Work in progress"
0,AN.122.ND,"Work-in-progress  Non-dwellings","AN.122.ND"
0,AN.122.DW,"Work-in-progress - Dwellings","AN.122.DW"
0,AN.123.OTHER,"Finished Goods - Not elsewhere specified","AN.123.OTHER"
1,  150,"Closing - Goods on hand for sale","Closing - Goods on hand for sale"
1,  194,"Closing - Used motor vehicles & motor","Closing - Used motor vehicles &"
1,  196,"Closing - New motor vehicles & motor","Closing - New motor vehicles & m"
1,  330,"Closing - All other stocks","Closing - All other stocks"
1,  499,"Closing - Value of stocks held","Closing - Value of stocks held"
0,AN.123.ND,"Finished Goods - Non-dwellings","AN.123.ND"
0,AN.123.DW,"Finished Goods - Dwellings","AN.123.DW"
0,AN.125,"Goods for Re-Sale","AN.125"
