"Classification Items Report    Date: 22/09/2022 13:41:08"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 EU A161 level"

Level,Code,Description,Table Header
0,TOTAL,"TOTAL","TOTAL"
1,  A,"AGRICULTURE, FORESTRY AND FISHING","A"
2,    01,"Crop and animal production, hunting and related service activities","01"
2,    02,"Forestry and logging","02"
2,    03,"Fishing and aquaculture","03"
1,  BCDE,"BCDE","BCDE"
2,    B,"MINING AND QUARRYING","B"
3,      05,"Mining of coal and lignite","05"
3,      06,"Extraction of crude petroleum and natural gas","06"
3,      07,"Mining of metal ores","07"
3,      08,"Other mining and quarrying","08"
3,      09,"Mining support service activities","09"
2,    C,"MANUFACTURING","C"
3,      10-12,"Manufacture of food, drink and tobacco","10-12"
4,        10.1,"Processing and preserving of meat and production of meat products","10.1"
4,        10.2-3,"Preserving of fish, fruit and vegetables","10.2-3"
4,        10.4,"Manufacture of vegetable and animal oils and fats","10.4"
4,        10.5,"Manufacture of dairy products","10.5"
4,        10.6,"Manufacture of grain mill products, starches and starch products","10.6"
4,        10.7,"Manufacture of bakery and farinaceous products","10.7"
4,        10.8,"Manufacture of other food products","10.8"
4,        10.9,"Manufacture of prepared animal feeds","10.9"
4,        11.01-6,"Manufacture of alcoholic beverages","11.01-6"
4,        11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
4,        12,"Manufacture of tobacco products","12"
3,      13-15,"Manufacture of textiles, wearing apparel, leather and leather products","13-15"
4,        13,"Manufacture of textiles","13"
4,        14,"Manufacture of wearing apparel","14"
4,        15,"Manufacture of leather and related products","15"
3,      16-18,"16 to 18","16-18"
4,        16,"Manufacture of wood and of products of wood and cork","16"
4,        17,"Manufacture of paper and paper products","17"
4,        18,"Printing and reproduction of recorded media","18"
3,      19,"Manufacture of coke and refined petroleum products","19"
3,      20,"Manufacture of chemicals and chemical products","20"
4,        20A,"Manufacture of industrial gases, inorganics and fertilizers","20A"
4,        20B,"Manufacture of petrochemicals","20B"
4,        20C,"Manufacture of dyestuffs, agro chemicals","20C"
4,        20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
4,        20.4,"Manufacture of soap and detergents, cleaning and polishing preparations","20.4"
4,        20.5,"Manufacture of other chemical products","20.5"
3,      21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations","21"
3,      22-23,"22 to 23","22-23"
4,        22,"Manufacture of rubber and plastic products","22"
4,        23,"Manufacture of other non-metallic mineral products","23"
5,          23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products","23OTHER"
5,          23.5-6,"Manufacture of cement, lime, plaster and articles of concrete","23.5-6"
3,      24-25,"24 to 25","24-25"
4,        24,"Manufacture of basic metals","24"
5,          24.1-3,"Manufacture of basic iron & steel","24.1-3"
5,          24.4-5,"Manufacture of precious metals and casting of metals","24.4-5"
4,        25,"Manufacture of fabricated metal products, except machinery and equipment","25"
5,          25OTHER,"Manufacture of fabricated metal products, excluding weapons and ammunition","25OTHER"
5,          25.4,"Manufacture of weapons and ammunition","25.4"
3,      26,"Manufacture of computer, electronic and optical products","26"
3,      27,"Manufacture of electrical equipment","27"
3,      28,"Manufacture of machinery and equipment n.e.c.","28"
3,      29-30,"29 to 30","29-30"
4,        29,"Manufacture of motor vehicles, trailers and semi-trailers","29"
4,        30,"Manufacture of other transport equipment","30"
5,          30.1,"Building of ships and boats","30.1"
5,          30.3,"Manufacture of air and spacecraft and related machinery","30.3"
5,          30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
3,      31-33,"31, 32 & 33","31-33"
4,        31-32,"Manufacture of furniture and other manufacturing","31-32"
5,          31,"Manufacture of furniture","31"
5,          32,"Other manufacturing","32"
4,        33,"Repair and installation of machinery and equipment","33"
5,          33.15,"33.15","33.15"
5,          33.16,"33.16","33.16"
5,          33OTHER,"33OTHER","33OTHER"
2,    D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","D"
3,      35.1,"Electric power generation, transmission and distribution","35.1"
3,      35.2-3,"Manufacture of gas; distribution of gas and steam and air conditioning supply","35.2-3"
2,    E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","E"
3,      36,"Water collection, treatment and supply","36"
3,      37-39,"Sewerage, waste collection and remediation","37-39"
4,        37,"Sewerage","37"
4,        38,"Waste collection, treatment and disposal activities; materials recovery","38"
4,        39,"Remediation activities and other waste management services","39"
1,  F,"CONSTRUCTION","F"
2,    41,"Construction of buildings","41"
2,    42,"Civil engineering","42"
2,    43,"Specialised construction activities","43"
1,  GHI,"Wholesale, Retail, Repair of Vehicles, Accomodation and Food Service activities","GHI"
2,    G,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES","G"
3,      45,"Wholesale and retail trade and repair of motor vehicles and motorcycles","45"
3,      46,"Wholesale trade, except of motor vehicles and motorcycles","46"
3,      47,"Retail trade, except of motor vehicles and motorcycles","47"
2,    H,"TRANSPORTATION AND STORAGE","H"
3,      49,"Land transport and transport via pipelines","49"
4,        49.1-2,"Rail transport (passenger & freight)","49.1-2"
4,        49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
3,      50,"Water transport","50"
3,      51,"Air transport","51"
3,      52,"Warehousing and support activities for transportation","52"
3,      53,"Postal and courier activities","53"
2,    I,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES","I"
3,      55,"Accommodation","55"
3,      56,"Food and beverage service activities","56"
1,  J,"INFORMATION AND COMMUNICATION","J"
2,    58-60,"58 to 60","58-60"
3,      58,"Publishing activities","58"
3,      59-60,"Film, televion programming and broadcasting","59-60"
4,        59,"Motion picture, video and television programme production","59"
4,        60,"Programming and broadcasting activities","60"
2,    61,"Telecommunications","61"
2,    62-63,"Computer programming and information service activities","62-63"
3,      62,"Computer programming, consultancy and related activities","62"
3,      63,"Information service activities","63"
1,  K,"FINANCIAL AND INSURANCE ACTIVITIES","K"
2,    64,"Financial service activities, except insurance and pension funding","64"
2,    65,"Insurance, reinsurance and pension funding, except compulsory social security","65"
3,      65.1-2,"Insurance and reinsurance, except comulsory social security","65.1-2"
3,      65.3,"Pension funding","65.3"
2,    66,"Activities auxiliary to financial services and insurance activities","66"
1,  L,"REAL ESTATE ACTIVITIES","L"
2,    68.1-2,"Buying and selling, renting and operating of own or leased real estate","68.1-2"
2,    68.2IMP,"Imputed Rent","68.2IMP"
2,    68.3,"Real estate activities on a fee or contract basis","68.3"
1,  MN,"Professional, scientific, administration & support","MN"
2,    M,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","M"
3,      69-71,"69 to 71","69-71"
4,        69-70,"Legal and accounting services and activities of head offices","69-70"
5,          69.1,"Legal activities","69.1"
5,          69.2,"Accounting, bookkeeping and auditing activities; tax consultancy","69.2"
5,          70,"Activities of head offices; management consultancy activities","70"
4,        71,"Architectural and engineering activities; technical testing and analysis","71"
3,      72,"Scientific research and development","72"
3,      73-75,"Advertising and other professional service activities","73-75"
4,        73,"Advertising and market research","73"
4,        74-75,"Other professional, scientific and vetinary activities","74-75"
5,          74,"Other professional, scientific and technical activities","74"
5,          75,"Veterinary activities","75"
2,    N,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","N"
3,      77,"Rental and leasing activities","77"
3,      78,"Employment activities","78"
3,      79,"Travel agency, tour operator and other reservation service and related activities","79"
3,      80-82,"Security services and office support","80-82"
4,        80,"Security and investigation activities","80"
