"Classification Items Report    Date: 22/09/2022 13:41:26"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Inventories"

Level,Code,Description,Table Header
0,TOTAL,"TOTAL","TOTAL"
1,  01,"Crop And Animal Production, Hunting And Related Service Activities  ","01"
1,  02,"Forestry And Logging  ","02"
1,  03,"Fishing And Aquaculture  ","03"
1,  05,"Mining Of Coal And Lignite  ","05"
1,  06,"Extraction Of Crude Petroleum And Natural Gas  ","06"
1,  07,"Mining Of Metal Ores  ","07"
1,  08,"Other Mining And Quarrying  ","08"
1,  09,"Mining Support Service Activities  ","09"
1,  10.1,"Processing and preserving of meat and production of meat products","10.1"
1,  10.2-3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
1,  10.4,"Manufacture of vegetable and animal oils and fats","10.4"
1,  10.5,"Manufacture of dairy products","10.5"
1,  10.6,"Manufacture of grain mill products, starches and starch products","10.6"
1,  10.7,"Manufacture of bakery and farinaceous products","10.7"
1,  10.8,"Manufacture of other food products","10.8"
1,  10.9,"Manufacture of prepared animal feeds","10.9"
1,  11.01-6,"Manufacture of alcoholic beverages","11.01-6"
1,  11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
1,  12,"Manufacture Of Tobacco Products  ","12"
1,  13,"Manufacture Of Textiles  ","13"
1,  14,"Manufacture Of Wearing Apparel  ","14"
1,  15,"Manufacture Of Leather And Related Products  ","15"
1,  16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw","16"
1,  17,"Manufacture Of Paper And Paper Products  ","17"
1,  18,"Printing And Reproduction Of Recorded Media  ","18"
1,  19,"Manufacture Of Coke And Refined Petroleum Products  ","19"
1,  20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15","20A"
1,  20B,"Manufacture of petrochemicals - 20.14/16/17/60","20B"
1,  20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","20C"
1,  20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
1,  20.4,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations","20.4"
1,  20.5,"Manufacture of other chemical products","20.5"
1,  21,"Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations","21"
1,  22,"Manufacture Of Rubber And Plastic Products  ","22"
1,  23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","23OTHER"
1,  23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
1,  24.1-3,"Manufacture of basic iron and steel","24.1-3"
1,  24.4-5,"Manufacture of other basic metals and casting","24.4-5"
1,  25OTHER,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","25OTHER"
1,  25.4,"Manufacture of weapons and ammunition","25.4"
1,  26,"Manufacture Of Computer, Electronic And Optical Products  ","26"
1,  27,"Manufacture Of Electrical Equipment  ","27"
1,  28,"Manufacture Of Machinery And Equipment N.E.C.  ","28"
1,  29,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ","29"
1,  30.1,"Building of ships and boats","30.1"
1,  30.3,"Manufacture of air and spacecraft and related machinery","30.3"
1,  30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
1,  31,"Manufacture Of Furniture  ","31"
1,  32,"Other Manufacturing  ","32"
1,  33.15,"Repair and maintenance of ships and boats","33.15"
1,  33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
1,  33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
1,  35.1,"Electric power generation, transmission and distribution","35.1"
1,  35.2-3,"Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply","35.2-3"
1,  36,"Water Collection, Treatment And Supply  ","36"
1,  37,"Sewerage  ","37"
1,  38,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ","38"
1,  39,"Remediation Activities And Other Waste Management Services  ","39"
1,  41,"Construction Of Buildings  ","41"
1,  42,"Civil Engineering  ","42"
1,  43,"Specialised Construction Activities  ","43"
1,  45,"Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ","45"
1,  46,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","46"
1,  47,"Retail Trade, Except Of Motor Vehicles And Motorcycles  ","47"
1,  49.1-2,"Rail transport","49.1-2"
1,  49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
1,  50,"Water Transport  ","50"
1,  51,"Air Transport  ","51"
1,  52,"Warehousing And Support Activities For Transportation  ","52"
1,  53,"Postal And Courier Activities  ","53"
1,  55,"Accommodation  ","55"
1,  56,"Food And Beverage Service Activities  ","56"
1,  58,"Publishing Activities  ","58"
1,  59,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities","59"
1,  60,"Programming And Broadcasting Activities  ","60"
1,  61,"Telecommunications  ","61"
