"Classification Items Report    Date: 22/09/2022 13:41:43"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Publish  Inventories"

Level,Code,Description,Table Header
0,TOTAL,"TOTAL","TOTAL"
1,  Publish01,"SIC2007s 05 to 09","Publish01"
2,    05,"Mining Of Coal And Lignite  ","05"
2,    06,"Extraction Of Crude Petroleum And Natural Gas  ","06"
2,    07,"Mining Of Metal Ores  ","07"
2,    08,"Other Mining And Quarrying  ","08"
2,    09,"Mining Support Service Activities  ","09"
1,  Publish02,"SIC2007 10 - 33","Publish02"
2,    10.1,"Processing and preserving of meat and production of meat products","10.1"
2,    10.2-3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
2,    10.4,"Manufacture of vegetable and animal oils and fats","10.4"
2,    10.5,"Manufacture of dairy products","10.5"
2,    10.6,"Manufacture of grain mill products, starches and starch products","10.6"
2,    10.7,"Manufacture of bakery and farinaceous products","10.7"
2,    10.8,"Manufacture of other food products","10.8"
2,    10.9,"Manufacture of prepared animal feeds","10.9"
2,    11.01-6,"Manufacture of alcoholic beverages","11.01-6"
2,    11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
2,    12,"Manufacture Of Tobacco Products  ","12"
2,    13,"Manufacture Of Textiles  ","13"
2,    14,"Manufacture Of Wearing Apparel  ","14"
2,    15,"Manufacture Of Leather And Related Products  ","15"
2,    16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw","16"
2,    17,"Manufacture Of Paper And Paper Products  ","17"
2,    18,"Printing And Reproduction Of Recorded Media  ","18"
2,    19,"Manufacture Of Coke And Refined Petroleum Products  ","19"
2,    20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15","20A"
2,    20B,"Manufacture of petrochemicals - 20.14/16/17/60","20B"
2,    20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","20C"
2,    20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
2,    20.4,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations","20.4"
2,    20.5,"Manufacture of other chemical products","20.5"
2,    21,"Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations","21"
2,    22,"Manufacture Of Rubber And Plastic Products  ","22"
2,    23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","23OTHER"
2,    23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
2,    24.1-3,"Manufacture of basic iron and steel","24.1-3"
2,    24.4-5,"Manufacture of other basic metals and casting","24.4-5"
2,    25OTHER,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","25OTHER"
2,    25.4,"Manufacture of weapons and ammunition","25.4"
2,    26,"Manufacture Of Computer, Electronic And Optical Products  ","26"
2,    27,"Manufacture Of Electrical Equipment  ","27"
2,    28,"Manufacture Of Machinery And Equipment N.E.C.  ","28"
2,    29,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ","29"
2,    30.1,"Building of ships and boats","30.1"
2,    30.3,"Manufacture of air and spacecraft and related machinery","30.3"
2,    30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
2,    31,"Manufacture Of Furniture  ","31"
2,    32,"Other Manufacturing  ","32"
2,    33.15,"Repair and maintenance of ships and boats","33.15"
2,    33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
