"Classification Items Report    Date: 22/09/2022 13:41:59"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Sector"

Level,Code,Description,Table Header
0,S.1,"S.1","S.1"
0,S.1NG,"S.1NG","S.11"
0,S.1PT,"S.1PT","S.1NG"
0,S.11,"S.11","S.11001"
0,S.11PR,"S.11PR","S.1HN"
0,S.11001,"S.11001","S.11PR"
0,S.12,"S.12","S.12"
0,S.12MF,"S.12MF","S.12MF"
0,S.125,"S.125","S.125"
0,S.12FE,"S.12FE","S.12FE"
0,S.1HN,"S.1HN","S.14"
0,S.14,"S.14","S.15"
0,S.15,"S.15","S.1PT"
0,S.13,"S.13","S.13"
0,S.1311,"S.1311","S.1311"
0,S.1313,"S.1313","S.1313"
