"Classification Parent Child Links Report    Date: 22/09/2022 13:42:31"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Asset Expanded"

Parent Code,Child Code
AN.12,AN.121
AN.12,AN.122
AN.12,AN.123
AN.12,AN.124
AN.12,AN.125
AN.121,AN.121.COAL
AN.121,AN.121.DW
AN.121,AN.121.GAS
AN.121,AN.121.ND
AN.121,AN.121.NUCLEAR
AN.121,AN.121.OFUEL
AN.121,AN.121.OIL
AN.121,AN.121.STORES
AN.121,AN.121.OTHER
AN.121.COAL,05
AN.121.COAL,09
AN.121.DW,23.5-6
AN.121.GAS,20A
AN.121.ND,19
AN.121.OFUEL,49.1-2
AN.121.OFUEL,49.3-5
AN.121.OFUEL,50
AN.121.OFUEL,51
AN.121.OIL,06
AN.121.OTHER,47
AN.121.OTHER,52
AN.122,AN.122.DW
AN.122,AN.122.ND
AN.122,AN.122.OTHER
AN.122.DW,35.2-3
AN.122.DW,36
AN.122.DW,68.2IMP
AN.122.ND,35.1
AN.122.ND,68.1-2
AN.123,AN.123.ALUM
AN.123,AN.123.BEEF
AN.123,AN.123.BREAD
AN.123,AN.123.BUTTER
AN.123,AN.123.COPPER
AN.123,AN.123.DW
AN.123,AN.123.FEED
AN.123,AN.123.LEAD
AN.123,AN.123.MILK
AN.123,AN.123.ND
AN.123,AN.123.NICKEL
AN.123,AN.123.SILVER
AN.123,AN.123.TIN
AN.123,AN.123.ZINC
AN.123,AN.123.OTHER
AN.123.BEEF,10.1
AN.123.BREAD,10.7
AN.123.BUTTER,10.4
AN.123.COPPER,24.4-5
AN.123.DW,21
AN.123.FEED,10.9
AN.123.LEAD,24.1-3
AN.123.MILK,10.5
AN.123.ND,20B
AN.123.ND,20C
AN.123.ND,20.5
AN.123.NICKEL,25OTHER
AN.123.SILVER,65.1-2
AN.123.OTHER,11.01-6
AN.123.OTHER,11.07
AN.123.OTHER,12
AN.123.OTHER,13
AN.123.OTHER,14
AN.123.OTHER,15
AN.123.OTHER,16
AN.123.OTHER,17
AN.123.OTHER,18
AN.123.OTHER,20.4
AN.123.OTHER,22
AN.123.OTHER,29
AN.123.OTHER,30.1
AN.123.OTHER,30.3
AN.123.OTHER,30OTHER
AN.123.OTHER,46
AN.123.OTHER,53
AN.123.OTHER,55
AN.123.OTHER,56
AN.123.OTHER,58
AN.123.OTHER,59
AN.123.OTHER,60
AN.123.OTHER,61
AN.123.OTHER,62
AN.123.OTHER,63
AN.123.OTHER,64
AN.123.OTHER,65.3
AN.123.OTHER,66
AN.123.OTHER,68.3
AN.123.OTHER,69.1
AN.123.OTHER,69.2
AN.123.OTHER,70
AN.123.OTHER,71
AN.123.OTHER,72
AN.123.OTHER,73
AN.123.OTHER,74
AN.123.OTHER,75
AN.123.OTHER,77
AN.123.OTHER,78
AN.123.OTHER,79
AN.123.OTHER,80
AN.123.OTHER,81
AN.123.OTHER,82
AN.123.OTHER,85
AN.123.OTHER,86
AN.123.OTHER,87
AN.123.OTHER,88
AN.123.OTHER,90
AN.123.OTHER,91
AN.123.OTHER,92
AN.123.OTHER,93
AN.123.OTHER,94
AN.123.OTHER,95
AN.123.OTHER,96
AN.123.OTHER,97
AN.123.OTHER,98
AN.124,AN.124.OTHER
AN.124.OTHER,25.4
AN.124.OTHER,84
AN.125,AN.125.OTHER
