"Classification Parent Child Links Report    Date: 22/09/2022 13:42:31"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: CPA2008 SUT Inventories"

Parent Code,Child Code
TOTAL,01
TOTAL,02
TOTAL,03
TOTAL,05
TOTAL,06
TOTAL,07
TOTAL,08
TOTAL,09
TOTAL,10.1
TOTAL,10.2-3
TOTAL,10.4
TOTAL,10.5
TOTAL,10.6
TOTAL,10.7
TOTAL,10.8
TOTAL,10.9
TOTAL,11.01-6
TOTAL,11.07
TOTAL,12
TOTAL,13
TOTAL,14
TOTAL,15
TOTAL,16
TOTAL,17
TOTAL,18
TOTAL,19
TOTAL,20A
TOTAL,20B
TOTAL,20C
TOTAL,20.3
TOTAL,20.4
TOTAL,20.5
TOTAL,21
TOTAL,22
TOTAL,23OTHER
TOTAL,23.5-6
TOTAL,24.1-3
TOTAL,24.4-5
TOTAL,25OTHER
TOTAL,25.4
TOTAL,26
TOTAL,27
TOTAL,28
TOTAL,29
TOTAL,30.1
TOTAL,30.3
TOTAL,30OTHER
TOTAL,31
TOTAL,32
TOTAL,33.15
TOTAL,33.16
TOTAL,33OTHER
TOTAL,35.1
TOTAL,35.2-3
TOTAL,36
TOTAL,37
TOTAL,38
TOTAL,39
TOTAL,41
TOTAL,42
TOTAL,43
TOTAL,45
TOTAL,46
TOTAL,47
TOTAL,49.1-2
TOTAL,49.3-5
TOTAL,50
TOTAL,51
TOTAL,52
TOTAL,53
TOTAL,55
TOTAL,56
TOTAL,58
TOTAL,59
TOTAL,60
TOTAL,61
TOTAL,62
TOTAL,63
TOTAL,64
TOTAL,65.1-2
TOTAL,65.3
TOTAL,66
TOTAL,68.1-2
TOTAL,68.3
TOTAL,68IMP
TOTAL,69.1
TOTAL,69.2
TOTAL,70
TOTAL,71
TOTAL,72
TOTAL,73
TOTAL,74
TOTAL,75
TOTAL,77
TOTAL,78
TOTAL,79
TOTAL,80
TOTAL,81
TOTAL,82
TOTAL,84
TOTAL,85
TOTAL,86
TOTAL,87
TOTAL,88
TOTAL,90
TOTAL,91
TOTAL,92
TOTAL,93
TOTAL,94
TOTAL,95
TOTAL,96
TOTAL,97
TOTAL,98
TOTAL,99
