"Classification Parent Child Links Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Industry"

Parent Code,Child Code
TOTAL,02
TOTAL,03
TOTAL,05
TOTAL,06
TOTAL,08
TOTAL,10.1
TOTAL,10.2-3
TOTAL,10.4
TOTAL,10.5
TOTAL,10.6
TOTAL,10.7
TOTAL,10.8
TOTAL,10.9
TOTAL,11.01-6
TOTAL,11.07
TOTAL,12
TOTAL,13
TOTAL,14
TOTAL,15
TOTAL,16
TOTAL,17
TOTAL,18
TOTAL,19
TOTAL,20A
TOTAL,20B
TOTAL,20C
TOTAL,20.3
TOTAL,20.4
TOTAL,20.5
TOTAL,21
TOTAL,22
TOTAL,23.5-6
TOTAL,23OTHER
TOTAL,24.1-3
TOTAL,24.4-5
TOTAL,25.4
TOTAL,25OTHER
TOTAL,26
TOTAL,27
TOTAL,28
TOTAL,29
TOTAL,30.1
TOTAL,30.3
TOTAL,30OTHER
TOTAL,31
TOTAL,32
TOTAL,33.15
TOTAL,33.16
TOTAL,33OTHER
TOTAL,35.1
TOTAL,35.2-3
TOTAL,36
TOTAL,37
TOTAL,38
TOTAL,39
TOTAL,41
TOTAL,42
TOTAL,43
TOTAL,45
TOTAL,46
TOTAL,47
TOTAL,61
TOTAL,65.1-2
TOTAL,65.3
TOTAL,66
TOTAL,84
05,5000
08,8000
10.1,10100
10.2-3,99601
10.4,10400
10.5,10500
10.6,10600
10.7,10700
10.8,10800
10.9,10900
11.01-6,99602
11.07,11070
12,12000
13,13000
14,14000
15,15000
16,16000
17,17000
18,18000
19,19000
20A,99707
20B,99709
20C,99708
20.3,20300
20.4,20400
20.5,20500
21,21000
22,22000
23.5-6,99603
23OTHER,99907
24.1-3,99604
24.4-5,99605
25.4,25400
25OTHER,99908
26,26000
27,27000
28,28000
29,29000
30.1,30100
30.3,30300
30OTHER,99909
31,31000
32,32000
33.15,33150
33.16,33160
33OTHER,99910
35.1,35100
35.2-3,35200
35.2-3,35300
36,36000
37,37000
41,41100
41,41200
42,99607
43,43000
45,45000
46,99608
47,47000
