"Classification Parent Child Links Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Question"

Parent Code,Child Code
AN.121.OTHER,10
AN.121.OTHER,66
AN.121.OTHER,120
AN.121.OTHER,140
AN.121.OTHER,320
AN.121.COAL,175
AN.121.DW,250
AN.121.GAS,185
AN.121.GAS,205
AN.121.ND,220
AN.121.NUCLEAR,190
AN.121.OFUEL,210
AN.121.OIL,180
AN.121.STORES,192
AN.121.STORES,215
AN.122.OTHER,145
AN.123.OTHER,150
AN.123.OTHER,194
AN.123.OTHER,196
AN.123.OTHER,330
AN.123.OTHER,499
