"Classification Parent Child Links Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 EU A161 level"

Parent Code,Child Code
TOTAL,A
TOTAL,BCDE
TOTAL,F
TOTAL,GHI
TOTAL,J
TOTAL,K
TOTAL,L
TOTAL,MN
TOTAL,OPQ
TOTAL,RST
TOTAL,U
A,01
A,02
A,03
BCDE,B
BCDE,C
BCDE,D
BCDE,E
B,05
B,06
B,07
B,08
B,09
C,10-12
C,13-15
C,16-18
C,19
C,20
C,21
C,22-23
C,24-25
C,26
C,27
C,28
C,29-30
C,31-33
10-12,10.1
10-12,10.2-3
10-12,10.4
10-12,10.5
10-12,10.6
10-12,10.7
10-12,10.8
10-12,10.9
10-12,11.01-6
10-12,11.07
10-12,12
13-15,13
13-15,14
13-15,15
16-18,16
16-18,17
16-18,18
20,20A
20,20B
20,20C
20,20.3
20,20.4
20,20.5
22-23,22
22-23,23
23,23OTHER
23,23.5-6
24-25,24
24-25,25
24,24.1-3
24,24.4-5
25,25OTHER
25,25.4
29-30,29
29-30,30
30,30.1
30,30.3
30,30OTHER
31-33,31-32
31-33,33
31-32,31
31-32,32
33,33.15
33,33.16
33,33OTHER
D,35.1
D,35.2-3
E,36
E,37-39
37-39,37
37-39,38
37-39,39
F,41
F,42
F,43
GHI,G
GHI,H
GHI,I
G,45
G,46
G,47
H,49
H,50
H,51
H,52
H,53
49,49.1-2
49,49.3-5
I,55
I,56
J,58-60
J,61
J,62-63
58-60,58
58-60,59-60
59-60,59
59-60,60
62-63,62
62-63,63
K,64
K,65
K,66
65,65.1-2
65,65.3
L,68.1-2
L,68.2IMP
L,68.3
MN,M
MN,N
M,69-71
M,72
M,73-75
69-71,69-70
69-71,71
69-70,69.1
69-70,69.2
69-70,70
73-75,73
73-75,74-75
74-75,74
74-75,75
N,77
N,78
N,79
N,80-82
80-82,80
80-82,81
80-82,82
OPQ,O
OPQ,P
OPQ,Q
O,84
P,85
Q,86
Q,87-88
87-88,87
87-88,88
RST,R
RST,S
RST,T
R,90-92
R,93
90-92,90
90-92,91
90-92,92
S,94
S,95
S,96
