"Classification Parent Child Links Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Inventories"

Parent Code,Child Code
TOTAL,01
TOTAL,02
TOTAL,03
TOTAL,05
TOTAL,06
TOTAL,07
TOTAL,08
TOTAL,09
TOTAL,10.1
TOTAL,10.2-3
TOTAL,10.4
TOTAL,10.5
TOTAL,10.6
TOTAL,10.7
TOTAL,10.8
TOTAL,10.9
TOTAL,11.01-6
TOTAL,11.07
TOTAL,12
TOTAL,13
TOTAL,14
TOTAL,15
TOTAL,16
TOTAL,17
TOTAL,18
TOTAL,19
TOTAL,20A
TOTAL,20B
TOTAL,20C
TOTAL,20.3
TOTAL,20.4
TOTAL,20.5
TOTAL,21
TOTAL,22
TOTAL,23OTHER
TOTAL,23.5-6
TOTAL,24.1-3
TOTAL,24.4-5
TOTAL,25OTHER
TOTAL,25.4
TOTAL,26
TOTAL,27
TOTAL,28
TOTAL,29
TOTAL,30.1
TOTAL,30.3
TOTAL,30OTHER
TOTAL,31
TOTAL,32
TOTAL,33.15
TOTAL,33.16
TOTAL,33OTHER
TOTAL,35.1
TOTAL,35.2-3
TOTAL,36
TOTAL,37
TOTAL,38
TOTAL,39
TOTAL,41
TOTAL,42
TOTAL,43
TOTAL,45
TOTAL,46
TOTAL,47
TOTAL,49.1-2
TOTAL,49.3-5
TOTAL,50
TOTAL,51
TOTAL,52
TOTAL,53
TOTAL,55
TOTAL,56
TOTAL,58
TOTAL,59
TOTAL,60
TOTAL,61
TOTAL,62
TOTAL,63
TOTAL,64
TOTAL,65.1-2
TOTAL,65.3
TOTAL,66
TOTAL,68.1-2
TOTAL,68.3
TOTAL,69.1
TOTAL,69.2
TOTAL,70
TOTAL,71
TOTAL,72
TOTAL,73
TOTAL,74
TOTAL,75
TOTAL,77
TOTAL,78
TOTAL,79
TOTAL,80
TOTAL,81
TOTAL,82
TOTAL,84
TOTAL,85
TOTAL,86
TOTAL,87
TOTAL,88
TOTAL,90
TOTAL,91
TOTAL,92
TOTAL,93
TOTAL,94
TOTAL,95
TOTAL,96
TOTAL,97
TOTAL,98
TOTAL,99
64,64.1
64,64.2-9
PublishTotal,Publish01
PublishTotal,Publish02
PublishTotal,Publish03
PublishTotal,Publish04
PublishTotal,Publish05
PublishTotal,Publish06
Publish01,05
Publish01,06
Publish01,07
Publish01,08
Publish01,09
Publish02,10.1
Publish02,10.2-3
Publish02,10.4
Publish02,10.5
Publish02,10.6
Publish02,10.7
Publish02,10.8
Publish02,10.9
Publish02,11.01-6
Publish02,11.07
Publish02,12
Publish02,13
Publish02,14
Publish02,15
Publish02,16
Publish02,17
Publish02,18
Publish02,19
Publish02,20A
Publish02,20B
Publish02,20C
Publish02,20.3
Publish02,20.4
Publish02,20.5
Publish02,21
Publish02,22
Publish02,23OTHER
Publish02,23.5-6
Publish02,24.1-3
Publish02,24.4-5
Publish02,25OTHER
Publish02,25.4
Publish02,26
Publish02,27
Publish02,28
Publish02,29
Publish02,30.1
Publish02,30.3
Publish02,30OTHER
Publish02,31
Publish02,32
Publish02,33.15
Publish02,33.16
Publish02,33OTHER
Publish03,46
Publish04,47
Publish05,35.1
Publish05,35.2-3
Publish05,36
Publish06,01
Publish06,02
Publish06,03
Publish06,37
Publish06,38
Publish06,39
Publish06,41
Publish06,42
Publish06,43
Publish06,45
Publish06,49.1-2
Publish06,49.3-5
Publish06,50
Publish06,51
Publish06,52
Publish06,53
Publish06,55
Publish06,56
Publish06,58
Publish06,59
Publish06,60
Publish06,61
Publish06,62
Publish06,63
Publish06,64
Publish06,65.1-2
Publish06,65.3
Publish06,66
Publish06,68.1-2
Publish06,68.3
Publish06,69.1
Publish06,69.2
Publish06,70
Publish06,71
Publish06,72
Publish06,73
Publish06,74
Publish06,75
Publish06,77
Publish06,78
Publish06,79
Publish06,80
Publish06,81
Publish06,82
Publish06,84
Publish06,85
Publish06,86
Publish06,87
Publish06,88
Publish06,90
Publish06,91
Publish06,92
Publish06,93
Publish06,94
Publish06,95
Publish06,96
Publish06,97
Publish06,98
Publish06,99
