"Tasks Configuration Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Is Parallel,Date Created,Date Last Used
"00.00 Supertask","Supertask to run whole system",N,13/07/2010 16:48:05,16/09/2022 14:18:56
"00.01 Zip file input Satellite","00.01 Zip file input Satellite",N,27/08/2014 16:58:48,09/09/2022 15:23:59
"1.0 Input Data","Import QSI, Non-QSI, ABI Missing and DEFRA Data",N,05/08/2022 10:01:00,30/08/2022 10:48:48
"1.1 Del prev run data","Deletes prev run data from input datasets",N,25/08/2022 21:25:14,30/08/2022 14:55:23
"1.2 Import Data","Import data into input datasets",N,25/08/2022 21:30:31,01/09/2022 13:25:29
"2.0 Input Adjustments","Adjustments for QSI, NON-QSI, Quality, Pre SUTm Balanced and RP",N,05/08/2022 10:06:40,01/09/2022 13:27:01
"2.1 Del prev run data 2.1-2.5","Delete previous task run data from datasets 2.1-2.5",N,25/08/2022 21:49:04,25/08/2022 21:49:04
"2.2 Import Adj data 2.1-2.5","Import adjustments data into datasets 2.1-2.5",N,25/08/2022 21:50:59,25/08/2022 21:50:59
"3.0 Input Pattern","Input Pattern for Industry Sector",N,05/08/2022 10:08:35,01/09/2022 13:27:14
"3.1 Del prev run data 3.1","Delete previous task run data from datasets 3.1",N,25/08/2022 21:56:48,25/08/2022 21:56:48
"3.2 Import pattern data 3.1","Import sector industry pattern data into dataset 3.1",N,25/08/2022 21:57:52,25/08/2022 21:58:27
"4.0 Main Processing","Main Processing Task",N,05/08/2022 11:37:11,15/09/2022 09:53:59
"4.0.1 Delete Processing Data","Deletes previous task run processing data from all processing datasets",N,05/08/2022 12:10:27,05/08/2022 12:10:27
"4.1 Process QSI Industries","Process QSI Industries",N,25/06/2009 09:30:29,03/08/2022 09:05:43
"4.1.1 Input QSI Data","Input QSI data",N,28/08/2014 12:01:36,26/08/2022 12:26:01
"4.1.2 Calculate QSI Industries","Calculate QSI Industries",N,28/08/2014 12:02:03,04/08/2022 15:48:25
"4.2 Process Non-QSI industries","Process Non-QSI industries",N,25/06/2009 09:40:52,03/08/2022 09:06:08
"4.2.1 Input Non-QSI Data","Input Non-QSI Data",N,28/08/2014 11:59:41,05/08/2022 15:57:05
"4.2.2 Calculate Non-QSI Ind","Calculate Non-QSI industries",N,28/08/2014 12:00:16,04/08/2022 15:49:31
"4.3 Process ABI Adjustment","Process ABI Adjustment",N,26/09/2012 14:59:28,04/08/2022 15:52:18
"4.3.1 Input ABI Adjustment Data","Input ABI Adjustment Data",N,02/08/2022 09:26:50,15/09/2022 10:23:04
"4.3.2 Calculate ABI Adjustment","Calculate ABI Adjustment",N,02/08/2022 10:04:40,04/08/2022 12:26:00
"4.4 Process A5.2 Aggregation","A5.2 Aggregation",N,05/04/2018 10:52:30,04/08/2022 15:53:00
"4.4.1 Input Adjustment & RP Data","Input Adjustment & RP Data",N,04/08/2022 12:45:56,04/08/2022 12:45:56
"4.4.2 Perform Aggregations A5.2","Perform Aggregations A5.2",N,04/08/2022 12:49:44,04/08/2022 12:49:44
"4.5 Process DEFRA Data","DEFRA Task",N,09/10/2019 13:28:19,04/08/2022 15:54:00
"4.5.1 Input DEFRA Data","DEFRA Data",N,02/08/2022 11:23:19,04/08/2022 15:54:20
"4.5.2 DEFRA Calculations","DEFRA Calculations",N,02/08/2022 11:27:40,02/08/2022 11:27:40
"4.6 Process Sector Test","Sector Test",N,05/10/2018 14:53:08,13/09/2022 15:14:45
"4.6.1 Input Sector Pattern Data","Copy Sector Pattern Data",N,04/08/2022 15:00:58,04/08/2022 15:35:28
"4.7 Process SU Qual Adjustment","Quality adjustments for SU balancing",N,23/05/2019 12:14:43,04/08/2022 15:55:45
"4.7.1 Input SU Qual Adjust Data","Input SU Quality Adjustment Data",N,04/08/2022 15:39:03,04/08/2022 15:46:19
"4.7.2 SU Quality Adjustment Calc","SU Quality Adjustment Calculations",N,04/08/2022 15:43:37,04/08/2022 15:43:37
"4.8 Process Consistency checks","Consistency Checks QSI Non-QSI ABI",N,03/08/2022 08:32:37,03/08/2022 09:10:54
"4.8.1 Consistency Check QSI Ind","Consistency Check QSI Industries",N,03/08/2022 08:30:14,03/08/2022 08:30:14
"4.8.2 Consistency Check Non-QSI","Consistency Check Non-QSI Industries",N,03/08/2022 08:31:07,03/08/2022 08:31:07
"4.8.3 Consistency Check ABI","Consistency Check ABI",N,03/08/2022 08:31:32,03/08/2022 08:31:32
"5.0 Output Unbal Inventories","Copies data required by Unbalanced Inventories into the output dataset",N,25/08/2022 12:05:06,13/09/2022 15:16:53
"5.0.1 Delete prev task run data","Delete previous task run data from output dataset for Unbalanced Inventories",N,25/08/2022 14:19:24,25/08/2022 14:20:43
"5.1 Copy Unbal Inv data from 4.1","Copy data required by Unbalanced Inventories from 4.1",N,25/08/2022 12:38:15,15/09/2022 09:53:19
"5.10 Copy Unbal Inv data 00.090","Copy data required by Unbalanced Inventories from 00.090",N,25/08/2022 13:29:14,25/08/2022 13:29:14
"5.11 Copy Unbal Inv data 05.00","Copy data required by Unbalanced Inventories from 05.00",N,25/08/2022 14:11:32,25/08/2022 14:11:32
"5.12 Copy Bal Deliveries to Comp","Copy balanced deliveries in processing from WiP to Completed",N,13/09/2022 15:16:25,13/09/2022 15:16:25
"5.2 Copy Unbal Inv data from 4.2","Copy data required by Unbalanced Inventories from 4.2",N,25/08/2022 12:49:39,25/08/2022 12:49:39
"5.3 Copy Unbal Inv data from 4.3","Copy data required by Unbalanced Inventories from 4.3",N,25/08/2022 12:58:00,25/08/2022 13:15:11
"5.4 Copy Unbal Inv data from 4.4","Copy data required by Unbalanced Inventories from 4.4",N,25/08/2022 13:05:45,25/08/2022 13:05:45
"5.5 Copy Unbal Inv data from 4.5","Copy data required by Unbalanced Inventories from 4.5",N,25/08/2022 13:10:24,30/08/2022 14:40:55
"5.6 Copy Unbal Inv data from 4.6","Copy data required by Unbalanced Inventories from 4.6",N,25/08/2022 13:13:27,25/08/2022 13:13:27
"5.7 Copy Unbal Inv data from 4.7","Copy data required by Unbalanced Inventories from 4.7",N,25/08/2022 13:20:19,25/08/2022 13:20:19
"5.8 Copy Unbal Inv data 00.020","Copy data required by Unbalanced Inventories from 00.020",N,25/08/2022 13:23:11,25/08/2022 13:23:11
"5.9 Copy Unbal Inv data 00.080","Copy data required by Unbalanced Inventories from 00.080",N,25/08/2022 13:26:02,25/08/2022 13:26:02
"90.10 Copy datasets to Completed","Copy datasets to Completed",N,20/09/2010 14:02:18,03/09/2021 13:46:43
"Flags task","Task to import and output flags to the unbalanced",N,08/10/2019 12:03:20,17/12/2019 08:22:48
"Import A4.2's","Import A4.2s for Balanced",N,09/05/2019 15:22:41,10/05/2019 09:29:43
"Import A5.2's","Import A5.2s for Balanced",N,09/07/2019 12:43:41,14/07/2021 14:32:55
"SU Quality Adjustments","To import and deliver quality adjustments",N,23/05/2019 11:11:06,14/02/2020 14:02:30
"Supertask for Unbalanced","SUpertask just to satisfy Inventories Unbalanced",N,05/07/2018 15:19:27,12/11/2018 17:40:11
