"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 2.0 Input Adjustments (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"2.1.1 Del 2.1 prev run data",CALCULATION DEFINITION,N
1,"2.1.2 Del 2.2 prev run data",CALCULATION DEFINITION,N
2,"2.1.3 Del 2.3 prev run data",CALCULATION DEFINITION,N
3,"2.1.4 Del 2.4 prev run data",CALCULATION DEFINITION,N
4,"2.1.5 Del 2.5 data prev run",CALCULATION DEFINITION,N
5,"2.2.1 Adjustment - A1.2 QSI",TIMESERIES IMPORT DEFINITION,N
6,"2.2.2 Adjustment - A1.2 Non-QSI",TIMESERIES IMPORT DEFINITION,N
7,"2.2.3 Adjustment - A1.2 ABI",TIMESERIES IMPORT DEFINITION,N
8,"2.2.4 Adjustment - SU Quality",TIMESERIES IMPORT DEFINITION,N
9,"2.2.5 Adjustment AQ for Pre SUT",TIMESERIES IMPORT DEFINITION,N
10,"2.2.6 Adjustment A4.2 Balanced",TIMESERIES IMPORT DEFINITION,N
11,"2.2.7 Adjustment A5.2 Balanced",TIMESERIES IMPORT DEFINITION,N
12,"2.2.8 Adjustment RP data",TIMESERIES IMPORT DEFINITION,N
