"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 4.2.2 Calculate Non-QSI Ind (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"4.2.2.1 Calc 64 OTHER BVC A",CALCULATION DEFINITION,N
1,"4.2.2.2 Calc 01 06 OTHER BVC Q",CALCULATION DEFINITION,N
2,"4.2.2.3 Calc 01 06 64 OTHER BV Q",CALCULATION DEFINITION,N
3,"4.2.2.4 Calculate 46 65 84 BV",CALCULATION DEFINITION,N
4,"4.2.2.5 Agg Assets to AN.12",CALCULATION DEFINITION,N
5,"4.2.2.6 Agg PROP to Asset AN.12",CALCULATION DEFINITION,N
6,"4.2.2.7 Prorate from Asset AN.12",CALCULATION DEFINITION,N
7,"4.2.2.8 Extend A1.2 to end date",CALCULATION DEFINITION,N
8,"4.2.2.9 Calc measure OUTPUT",CALCULATION DEFINITION,N
9,"4.2.2.10 Form Ind 46, AN.125",CALCULATION DEFINITION,N
