"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 4.5.2 DEFRA Calculations (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"4.5.2.1 DF Calc AN.121_AN.123 BV",CALCULATION DEFINITION,N
1,"4.5.2.2 DF Calc AN.121 BVC",CALCULATION DEFINITION,N
2,"4.5.2.3 DF Calc AN.121_AN.123 BV",CALCULATION DEFINITION,N
3,"4.5.2.4 DF Calc AN.121 BV",CALCULATION DEFINITION,N
4,"4.5.2.5 DF Create Q4 for 96",CALCULATION DEFINITION,N
5,"4.5.2.6 DF Forecast R0 endyear",CALCULATION DEFINITION,N
6,"4.5.2.7 DF Forecast R1.2 endyear",CALCULATION DEFINITION,N
7,"4.5.2.8 DF Spline to Q",CALCULATION DEFINITION,N
8,"4.5.2.9 DF Set BVC to R1.2",CALCULATION DEFINITION,N
9,"4.5.2.10 DF Set BV to R1.2",CALCULATION DEFINITION,N
10,"4.5.2.11 DF Create BV timeseries",CALCULATION DEFINITION,N
