"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 5.0 Output Unbal Inventories (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"5.0.1 Delete prev task run data",TASK,N
1,"5.1 Copy Unbal Inv data from 4.1",TASK,N
2,"5.2 Copy Unbal Inv data from 4.2",TASK,N
3,"5.3 Copy Unbal Inv data from 4.3",TASK,N
4,"5.4 Copy Unbal Inv data from 4.4",TASK,N
5,"5.5 Copy Unbal Inv data from 4.5",TASK,N
6,"5.6 Copy Unbal Inv data from 4.6",TASK,N
7,"5.7 Copy Unbal Inv data from 4.7",TASK,N
8,"5.8 Copy Unbal Inv data 00.020",TASK,N
9,"5.9 Copy Unbal Inv data 00.080",TASK,N
10,"5.10 Copy Unbal Inv data 00.090",TASK,N
11,"5.11 Copy Unbal Inv data 05.00",TASK,N
12,"5.12 Copy Bal Deliveries to Comp",TASK,N
