Task Report     Date: 05/10/2022 16:05:41
"Task: 00.00 Supertask    Description: Supertask to run whole system    Is Parallel: N"
Statistical Activity: Inventories Local    Mode: INT23

Order,Level,Name,Description,Parent Task,Kind,Exclude,Parallel,Line Run,Dataset,Status,Start Date,End Date,Object Type,Object Details,Selection Criteria,Dimension Mappings
 , , , ,Order, , ,Line,In Parallel, , , , , , , , 
1,0,"00.01 Zip file input Satellite","00.01 Zip file input Satellite",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = 00.01 Zip file input Satellite}{isparallel = N}","n/a","n/a"
2,1,"   00.021 Stock Holding Periods","00.021 Stock Holding Periods",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.020 Stock Holding Period","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.021 Stock Holding Periods.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Prices-> (unmapped) SHP}{Periodicity-> (unmapped) A}"
3,1,"   00.022 Industry 84 deflator","00.022 Industry 84 deflator",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.020 Stock Holding Period","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.022 Industry 84 deflator.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.124}{Prices-> (unmapped) DEF}{Periodicity-> (unmapped) M}"
4,1,"   00.023 Industry 46 deflator","00.023 Industry 46 deflator",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.020 Stock Holding Period","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.023 Industry 46 deflator.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.123}{Prices-> (unmapped) DEF}{Periodicity-> (unmapped) M}"
5,1,"   00.101 Sector Breakdown","00.101 Sector Breakdown",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.100 Sector Breakdown","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.101 Sector breakdown.csv}","n/a","{Sector-> (mapped) Sector}"
6,1,"   3.2.1 Pattern Sector Industry","Import Pattern [to create VPIC and HG at required level] into 3.1 Input Sector Ind Pattern",1,TIMESERIES IMPORT DEFINITION,N,N,N,"3.1 Input Sector Ind Pattern","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.201 Sector Industry pattern.csv}","n/a","{Industry-> (mapped) Industry}{Sector-> (mapped) Sector}{Measure-> (mapped) Measure}"
7,1,"   2.2.5 Adjustment AQ for Pre SUT","Import Adj AQ for Pre SUT into 2.5 Input Satellite Adjustments",1,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = Adj AQ for Pre SUT.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (unmapped) ST}{Price-> (unmapped) CP}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
8,1,"   2.2.6 Adjustment A4.2 Balanced","Import Adjustment A4.2 for Balanced into 2.5 Input Satellite Adjustments",1,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = A4.2 Adjusts for Balanced.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}{Sector-> (unmapped) S1}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
9,1,"   00.080 Product Pattern Input","Product Pattern Input and Adjustment",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.080 Product Pattern Input","Work in progress",n/a,n/a,bulk_import,"{file0 = Product Pattern.csv}{file1 = A01 Adjustments.csv}","n/a","{Industry-> (mapped) Industry}{Product-> (mapped) Product}{Adjustment-> (mapped) Adjustment Basis}"
