Task Report     Date: 11/10/2022 19:59:25
"Task: A. Inventories Satellite    Description: Runs all Annual SUT Balanced CORD tasks from stages 00 to 13    Is Parallel: N"
Statistical Activity: Unbalanced Inventories    Mode: INT23

Order,Level,Name,Description,Parent Task,Kind,Exclude,Parallel,Line Run,Dataset,Status,Start Date,End Date,Object Type,Object Details,Selection Criteria,Dimension Mappings
 , , , ,Order, , ,Line,In Parallel, , , , , , , , 
1,0,"00.00 Copy to Input","Copy data from Inventories Local, GDP(P) and GDP(O) to Input datatsets",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local, GDP(P) and GDP(O) to Input datatsets}{isparallel = N}","n/a","n/a"
2,1,"   Dummy Parallel Task 2",1,DUMMY PARALLEL TASK,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DUMMY SUB TASK,n/a,n/a,n/a
3,2,"      00.10 Copy from Local","Copy data from Inventories Local to Input",2,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input}{isparallel = N}","n/a","n/a"
4,3,"         00.11 Copy from Local Prod Patt","Copy data from Inventories Local to Input for Product Pattern Prep",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Product Pattern Prep}{isparallel = N}","n/a","n/a"
5,4,"            00.111 Copy in PROP from Local","Copy PROP, AN.121, R0 data for Product Pattern prep from Inventories local",4,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = 'pattern'} {Source = LOCAL} {Adjustment Basis = R0} {Price = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{PROP-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
6,4,"            00.112 Copy in Patter adj local","Copy P (Pattern), AN.121, A0.1 adjustment from local",4,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = pattern} {Source = LOCAL} {Adjustment Basis = 'A0.1'} {Price = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{P-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
7,3,"         00.12 Copy from Local Data Prep","Copy data from Inventories Local to Input for Data Prep, Quarterly and Monthly data",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Data Prep, Quarterly and Monthly data}{isparallel = N}","n/a","n/a"
8,4,"            00.121 Copy BV QSI from Local","Copy BV QSI, Q, Inds bottom level excl 45, 46, 47",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group QSI Industries} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = QSI} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
9,4,"            00.122 Copy BV QSI from Local","Copy BV QSI, Q, Ind 45, 46, 47, Asset group AN.125 exc 123.OTH from Local (QSI)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = 45, 46, 47} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = QSI} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
10,4,"            00.123 Copy BV Other from Local","Copy BV Other, Q, Asset group Main, Industry Group bottom Level from Local",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Bottom level} {Product = TOTAL} {Asset = group Main} {Sector = S.1} {Measure = BV} {Source = 'Other'} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
11,4,"            00.124 Copy BV Other AN123 Local","Copy BV Other, Q, Asset AN.123, Industry 65.1-2, 65.3, 84 from Local (other)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '65.1-2','65.3','84'} {Product = TOTAL} {Asset = AN.123} {Sector = S.1} {Measure = BV} {Source = 'Other'} {Adjustment Basis = RF} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
12,4,"            00.125 Copy BV Other AN125 Local","Copy BV, Other, Q, Asset AN.125, Industry 46 from Local (Other)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '46'} {Product = 'TOTAL'} {Asset = 'AN.125'} {Sector = 'S.1'} {Measure = BV} {Source = 'Other'} {Adjustment Basis = 'RF'} {Price = 'CP'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
13,4,"            00.126 Copy BVC Other from Local","Copy BVC, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01 from Local (DEFRA)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '01'} {Product = 'TOTAL'} {Asset = 'AN.121','AN.122','AN.123'} {Sector = 'S.1'} {Measure = 'BVC'} {Source = 'Other'} {Adjustment Basis = RF} {Price = 'CP'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{RF-> (Unmapped) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
14,4,"            00.127 Copy BV Other 96Q4 Local","Copy BV, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01, 1996Q4 from Local (DEFRA)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress",1996Q4,1996Q4,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '01'} {Product = 'TOTAL'} {Asset = 'AN.121','AN.122','AN.123'} {Sector = 'S.1'} {Measure = 'BV'} {Source = 'Other'} {Adjustment Basis = RF} {Price = 'CP'} {Periodicity = *}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
15,4,"            00.128 Copy UWDEF DEF from Local","Copy UWDEF, DEF, M, Asset AN.12, Industry TOTAL, Product adjustments (A1.2) from Local (Def adjs)",7,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = 'TOTAL'} {Product = *} {Asset = 'AN.12'} {Sector = 'S.1'} {Measure = 'UWDEF'} {Source = 'DEF'} {Adjustment Basis = 'A1.2'} {Price = 'CP'} {Periodicity = 'M'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
16,3,"         00.13 Copy from Local Data Prep","Copy data from Inventories Local to Input for Data Prep, Annual data",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Data Prep, Annual data}{isparallel = N}","n/a","n/a"
17,4,"            00.131 Copy BV Other from Local","Copy BV, Other, A, Asset AN.121, AN.122, AN.123, Industry 01 from Local (DEFRA)",16,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = '01'} {Product = 'TOTAL'} {Asset = 'AN.121','AN.122','AN.123'} {Sector = 'S.1'} {Measure = 'BV'} {Source = 'Other'} {Adjustment Basis = RF} {Price = 'CP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
18,4,"            00.132 Copy W DEF AN.122-5 Local","Copy W, DEF, A, Asset AN.122, 3, 4, 5, Industry & Product Bottom level from Local (Produc Breakdown)",16,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = 'AN.122','AN.123','AN.124','AN.125'} {Sector = 'S.1'} {Measure = 'W'} {Source = 'DEF'} {Adjustment Basis = 'RF'} {Price = 'CP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
19,4,"            00.133 Copy pattern from Local","Copy pattern, LOCAL, A, Asset AN.122, 3, 4, 5, Industry & Product Bottom level from Local (Prod Bre)",16,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = 'AN.122','AN.123','AN.124','AN.125'} {Sector = 'S.1'} {Measure = 'pattern'} {Source = 'LOCAL'} {Adjustment Basis = 'RF'} {Price = 'CP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
20,4,"            00.134 Copy BV.in ABI 97-00","Copy BV.in, ABI, A, Asset AN.12, Industry Bottom level, Product TOTAL, 97-00 from Local (ABI Adj)",16,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress",1997,2000,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = 'TOTAL'} {Asset = 'AN.12'} {Sector = 'S.1'} {Measure = 'BV.in'} {Source = 'ABI'} {Adjustment Basis = 'RF.in'} {Price = 'CP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
21,4,"            00.135 Copy BV ABI from Local","Copy BV, ABI, A, Asset AN.12, Product TOTAL, Industry adjustments (A1.2) from Local (ABI adj)",16,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = 'TOTAL'} {Asset = 'AN.12'} {Sector = 'S.1'} {Measure = 'BV'} {Source = 'ABI'} {Adjustment Basis = 'A1.2'} {Price = 'CP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
22,3,"         00.14 Copy from Local Stock-hold","Copy data from Inventories Local to Input for Stock-holding Adj",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Stock-holding Adj}{isparallel = N}","n/a","n/a"
23,4,"            00.141 Copy SHP from Local","Copy SHP, A, Asset group Main, Ind Bottom level data from Inventories Local (Stock Holding Period)",22,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Bottom level} {Product = 'TOTAL'} {Asset = group Main} {Sector = 'S.1'} {Measure = BV} {Source = LOCAL} {Adjustment Basis = R1.2} {Price = 'SHP'} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
24,4,"            00.142 Copy FLAGS from Local","Copy group FLAGS, A, All Assets and Industries data from Inventories Local (Stock Holding Period)",22,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = 'TOTAL'} {Asset = *} {Sector = 'S.1'} {Measure = BV} {Source = LOCAL} {Adjustment Basis = R1.2} {Price = group FLAGS} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
25,3,"         00.15 Copy from Local Product Ma","Copy data from Inventories Local to Input for Product Matrix",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Product Matrix}{isparallel = N}","n/a","n/a"
